;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 921N Dirección y organización de la Administración Pública;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.06;;SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;263,42;
;11;Personal eventual;;253,40;
;12;Funcionarios;;11.729,91;
;13;Laborales;;140,00;
;15;Incentivos al rendimiento;;3.079,44;
;150;Productividad;;2.235,40;
;151;Gratificaciones;;48,19;
;155;Participación del personal en los programas de calidad regulados en el Real Decreto 951/2005, de 29 de julio;;795,85;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.225,66;
;16000; Seguridad Social;1.225,66;;
;;TOTAL GASTOS DE PERSONAL;;16.691,83;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;180,00;
;202;Arrendamientos de edificios y otras construcciones;;180,00;
;21;Reparaciones, mantenimiento y conservación;;55,03;
;22;Material, suministros y otros;;897,94;
;22601; Atenciones protocolarias y representativas;16,38;;
;23;Indemnizaciones por razón del servicio;;272,75;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.405,72;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;47;A empresas privadas;;16,74;
;470;Cuotas Nacionales;;16,74;
;48;A familias e instituciones sin fines de lucro;;1.233,95;
;482;Apoyo instrumental a la negociación colectiva a las Organizaciones Sindicales que participan en las Mesas de Negociación reguladas en Real Decreto Legislativo 5/2015, de 30 de octubre;;1.218,65;
;486;Pensiones a funcionarios y protección familiar;;15,30;
;49;Al exterior;;94,00;
;491;Contribución a Open Government Partnership (OGP);;94,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.344,69;
 ; ;;;;
;6;INVERSIONES REALES;;1.076,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA;;20.518,24;
 ; ;;;;
 ; ;;;;
;;TOTAL Dirección y organización de la Administración Pública;;20.518,24;
;;



