;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 921O Formación del personal de las Administraciones Públicas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.101;;INSTITUTO NACIONAL DE ADMINISTRACIÓN PÚBLICA;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;633,96;
;150;Productividad;;625,97;
;151;Gratificaciones;;7,99;
;16000; Seguridad Social;3.960,42;;
;16200; Formación y perfeccionamiento del personal;28,70;;
;16201; Economatos y comedores;42,44;;
;16204; Acción social;15,97;;
;;TOTAL GASTOS DE PERSONAL;;23.166,33;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;120,00;
;22502; Locales;18,00;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;27.070,46;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;0,82;
;359;Otros gastos financieros;;0,82;
;;TOTAL GASTOS FINANCIEROS;;0,82;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;53.587,34;
;450;Formación para el Empleo en las Administraciones Públicas;;39.915,63;
;45000; Comunidad Autónoma de Andalucía;7.778,72;;
;45001; Comunidad Autónoma de Aragón;1.438,20;;
;45002; Comunidad Autónoma del Principado de Asturias;1.130,85;;
;45003; Comunidad Autónoma de Illes Balears;832,36;;
;45004; Comunidad Autónoma de Canarias;1.876,43;;
;45005; Comunidad Autónoma de Cantabria;628,95;;
;45006; Comunidad Autónoma de Castilla-La Mancha;1.982,25;;
;45007; Comunidad Autónoma de Castilla y León;2.522,75;;
;45008; Comunidad Autónoma de Cataluña;5.487,60;;
;45009; Comunidad Autónoma de Extremadura;1.389,82;;
;45010; Comunidad Autónoma de Galicia;2.579,95;;
;45011; Comunidad Autónoma de La Rioja;325,07;;
;45012; Comunidad Autónoma de Madrid;5.343,43;;
;45013; Comunidad Autónoma de la Región de Murcia;1.585,93;;
;45014; Comunidad Foral de Navarra;732,21;;
;45015; Comunidad Autónoma de Valencia;4.206,43;;
;45016; Ciudad Autónoma de Ceuta;41,03;;
;45017; Ciudad Autónoma de Melilla;33,65;;
;451;Formación para el Empleo en las Admisitraciones Públicas de las entidades locales;;13.671,71;
;46;A Entidades Locales;;20,00;
;461;Aportación al Ayuntamiento de Valdeavellano de Tera: Centro de formación "ESPACIO VALDEAVELLANO" (Plan Soria);;20,00;
;48;A familias e instituciones sin fines de lucro;;9.858,09;
;480;Becas, ayudas y premios de estudios e investigación;;912,00;
;481;A Organizaciones SIndicales para formación en el empleo;;8.309,44;
;483;Becas Fulbright.;;64,00;
;488;A la FEMP, Formación para el Empleo en las Administraciones Públicas;;569,65;
;489;Aportación al Foro de la Contratación Socialmente Responsable;;3,00;
;49;Al exterior;;151,00;
;490;Cuotas de adhesión al Centro Latinoamericano de Administración para el Desarrollo (C.L.A.D.).;;80,00;
;493;Al Instituto Europeo de Administración Pública;;55,00;
;494;Al Instituto Internacional de Ciencias Administrativas;;16,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;63.616,43;
 ; ;;;;
;6;INVERSIONES REALES;;3.394,49;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;50,00;
;830;Préstamos a corto plazo;;50,00;
;;TOTAL ACTIVOS FINANCIEROS;;50,00;
 ; ;;;;
;;TOTAL INSTITUTO NACIONAL DE ADMINISTRACIÓN PÚBLICA;;117.298,53;
 ; ;;;;
 ; ;;;;
;;TOTAL Formación del personal de las Administraciones Públicas;;117.298,53;
;;



