;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.06;;SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;25.483,26;
;418;Al Instituto Nacional de Administración Pública (INAP);;25.483,26;
;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;2.690,06;
;437;Al Consejo de Transparencia y Buen Gobierno;;2.690,06;
;;TOTAL TRANSFERENCIAS CORRIENTES;;28.173,32;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;3.394,49;
;718;Al Instituto Nacional de Administración Pública (INAP);;3.394,49;
;73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;54,00;
;737;Al Consejo de Transparencia y Buen Gobierno;;54,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;3.448,49;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA;;31.621,81;
 ; ;;;;
 ; ;;;;
33.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;418;Al Instituto Nacional de Administración Pública (INAP). Mecanismo de Recuperación y Resiliencia;;450,00;
;718;Al Instituto Nacional de Administración Pública (INAP). Mecanismo de Recuperación y Resiliencia;;750,00;
;719;A la Mutualidad de Funcionarios Civiles del Estado (MUFACE). Mecanismo de Recuperación y Resiliencia;;1.084,46;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;2.284,46;
 ; ;;;;
 ; ;;;;
33.102;;MUTUALIDAD GENERAL DE FUNCIONARIOS CIVILES DEL ESTADO;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;40;A la Administración del Estado;;432,02;
;402;Al Estado, para compensar gastos de gestión centralizada;;432,02;
;;TOTAL TRANSFERENCIAS CORRIENTES;;432,02;
 ; ;;;;
;;TOTAL MUTUALIDAD GENERAL DE FUNCIONARIOS CIVILES DEL ESTADO;;432,02;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;34.338,29;
;;



