;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 8;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
222M; Prestaciones económicas del Mutualismo Administrativo;;320.488,83;;320.488,83;
312E; Asistencia sanitaria del Mutualismo Administrativo;;1.616.911,15;;1.616.911,15;
46KA; C11.I01 Modernización de la Administración General del Estado. I+D+i+Digitalización;233.393,17;;;233.393,17;
46LA; C12.I01 Espacios de datos sectoriales (contribución a proyectos tractores de digitalización de los sectores productivos estratégicos);400.000,00;;;400.000,00;
46MA; C13.I01 Emprendimiento. I+D+i+Digitalización;60.000,00;;;60.000,00;
46MC; C13.I03 Digitalización e Innovación I. I+D+i+Digitalización;1.322.000,00;;;1.322.000,00;
46NB; C14.I02 Programa de digitalización e inteligencia para destinos y sector turístico. I+D+i+Digitalización;100.000,00;;;100.000,00;
46OA; C15.I01 Favorecer la vertebración territorial mediante despliegue de redes: Extensión de la banda ancha ultrarrápida y cobertura en movilidad de 30 Mbps;256.000,00;;;256.000,00;
46OB; C15.I02 Refuerzo de conectividad en centros de referencia, motores socioeconómicos y proyectos tractores de digitalización sectorial;155.000,00;;;155.000,00;
46OC; C15.I03 Bonos de conectividad para PYMES y colectivos vulnerables;10.000,00;;;10.000,00;
46OD; C15.I04 Renovación y sostenibilidad de infraestructuras;20.000,00;;;20.000,00;
46OE; C15.I05 Despliegue de infraestructuras digitales transfronterizas. I+D+i+Digitalización;1.350.000,00;;;1.350.000,00;
46OG; C15.I07 Ciberseguridad: Fortalecimiento de las capacidades de ciudadanos, PYMES y profesionales. e Impulso del ecosistema del sector;131.620,00;;;131.620,00;
46PR; C16.R01 Estrategia Nacional de IA;86.600,00;;;86.600,00;
46RF; C18.I06 Data lake Sanitario;65.000,00;;;65.000,00;
46SA; C19.I01 Competencias digitales transversales. I+D+i+Digitalización;26.000,00;;;26.000,00;
46SD; C19.I04 Profesionales digitales;5.000,00;;;5.000,00;
46UE; C21.I05 Mejora de infraestructuras digitales, el equipamiento, las tecnologías, la docencia y la evaluación digitales universitarios;10.000,00;;;10.000,00;
461N; Dirección y Servicios Generales de Transformación Digital;31.047,97;;;31.047,97;
467G; Investigación y desarrollo de la Sociedad de la Información;88.706,06;;;88.706,06;
467I; Innovación tecnológica de las telecomunicaciones;204.073,49;;;204.073,49;
49OF; C15.I06 Despliegue del 5G: redes, cambio tecnológico e innovación;570.000,00;;;570.000,00;
49OS; C15.R02 Hoja de ruta 5G: Gestión y asignación del espectro, reducción de cargas al despliegue, Ley de Ciberseguridad 5G y Apoyo a entidades locales;31.000,00;;;31.000,00;
491M; Ordenación y promoción de las telecomunicaciones y de la Sociedad de la Información;37.503,94;;;37.503,94;
92KC; C11.I03 Transformación Digital y Modernización de la AGE. Servicios de carácter general;3.315,10;2.284,46;;5.599,56;
921N; Dirección y organización de la Administración Pública;20.518,24;;;20.518,24;
921O; Formación del personal de las Administraciones Públicas;;117.298,53;;117.298,53;
921X; Evaluación de la transparencia de la actividad pública;;;3.379,38;3.379,38;
94KC; C11.I03 Transformación Digital y Modernización de las CCAA y EELL. Transferencias a otras AA.PP.;221.300,00;;;221.300,00;
;TOTAL CONSOLIDADO;5.438.077,97;2.056.982,97;3.379,38;7.498.440,32;
000X; Transferencias y libramientos internos;33.906,27;432,02;;34.338,29;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;33.906,27;432,02;;34.338,29;
;TOTAL;5.471.984,24;2.057.414,99;3.379,38;7.532.778,61;
;;



