Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
34.01;35;Intereses de demora y otros gastos financieros;12.500,00;12.500.000,00
34.01;358;Intereses de demora a la UE (incluye obligaciones de ejercicios anteriores);12.500,00;12.500.000,00
34.01;49;Transferencias al exterior;17.766.350,00;17.766.350.000,00
34.01;491;Aportación por recurso propio procedente del IVA;1.950.000,00;1.950.000.000,00
34.01;492;Aportación por recurso propio basado en la Renta Nacional Bruta (RNB);12.177.050,00;12.177.050.000,00
34.01;493;Aportación por recursos propios tradicionales;3.100.000,00;3.100.000.000,00
34.01;494;Aportación por prestación de servicios;3.000,00;3.000.000,00
34.01;495;Aportación para indemnizaciones, multas y sanciones;1.000,00;1.000.000,00
34.01;496;Aportación al Fondo de Refugiados para Turquía;10.300,00;10.300.000,00
34.01;497;Aportación por residuos de envases de plástico no reciclados;525.000,00;525.000.000,00
—;—;TOTAL Transferencias al Presupuesto General de la Unión Europea;17.778.850,00;17.778.850.000,00
