Programa;Descripción;Cap. 3 (Gastos financieros);Cap. 4 (Transferencias corrientes);Cap. 7 (Transferencias de capital);Total Cap. 1–8;Total;
943M;Transferencias al Presupuesto General de la UE;12.500,00 €;17.766.350,00 €;—;17.778.850,00 €;17.778.850,00 €;
943N;Cooperación vía Fondo Europeo de Desarrollo y Fondo Europeo de Apoyo a la Paz;—;94.000,00 €;170.000,00 €;264.000,00 €;264.000,00 €;
TOTAL;—;12.500,00 €;17.860.350,00 €;170.000,00 €;18.042.850,00 €;18.042.850,00 €;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
