Orgánica;Económica;Explicación;Total (mil €);Total (€)
35.01;50;Dotación al Fondo de Contingencia de ejecución presupuestaria;3.964.420,00;3.964.420.000,00 €
35.01;500;Fondo de Contingencia de Ejecución Presupuestaria (Art. 50 Ley 47/2003, General Presupuestaria);3.964.420,00;3.964.420.000,00 €
;;TOTAL FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;3.964.420,00;3.964.420.000,00 €
;;TOTAL DIRECCIÓN GENERAL DE PRESUPUESTOS. FONDO DE CONTINGENCIA;3.964.420,00;3.964.420.000,00 €
;;TOTAL Fondo de contingencia de ejecución presupuestaria;3.964.420,00;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
