Económica;Explicación;Cataluña (38.02);Galicia (38.03);Andalucía (38.04);Asturias (38.05);Cantabria (38.06);La Rioja (38.07);Aragón (38.10);C-La Mancha (38.11);Canarias (38.12);Extremadura (38.14);C. y León (38.17);Melilla (38.18);Ceuta (38.19);Varias CC.AA. (38.20);Total (mil €);Total (€)
4;Transferencias corrientes;1.415.346,37;725.491,70;609.610,05;226.489,97;596.593,64;258.348,59;336.673,08;96.109,99;91.317,49;541.685,94;526.831,04;34.462,29;43.038,93;18.050.876,30;23.552.875,38;23.552.875.380
45;A Comunidades Autónomas;1.415.346,37;725.491,70;609.610,05;226.489,97;596.593,64;258.348,59;336.673,08;96.109,99;91.317,49;541.685,94;526.831,04;34.462,29;43.038,93;18.050.876,30;23.552.875,38;23.552.875.380
—;TOTAL;1.415.346,37;725.491,70;609.610,05;226.489,97;596.593,64;258.348,59;336.673,08;96.109,99;91.317,49;541.685,94;526.831,04;34.462,29;43.038,93;18.050.876,30;23.552.875,38;23.552.875.380
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
