;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 38 SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES;
;Programa: 941M Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
38.02;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CATALUÑA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;1.415.346,37;
;451;Fondo de Suficiencia Global;;1.079.014,27;
;452;A la Comunidad Autónoma de Cataluña, en concepto de regularización de la financiación revisada de los Mossos d'Esquadra, incluyendo ejercicios anteriores;;336.332,10;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.415.346,37;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CATALUÑA;;1.415.346,37;
 ; ;;;;
 ; ;;;;
38.03;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;725.491,70;
;451;Fondo de Suficiencia Global;;725.491,70;
;;TOTAL TRANSFERENCIAS CORRIENTES;;725.491,70;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. GALICIA;;725.491,70;
 ; ;;;;
 ; ;;;;
38.04;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;609.610,05;
;451;Fondo de Suficiencia Global;;609.610,05;
;;TOTAL TRANSFERENCIAS CORRIENTES;;609.610,05;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA;;609.610,05;
 ; ;;;;
 ; ;;;;
38.05;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;226.489,97;
;451;Fondo de Suficiencia Global;;226.489,97;
;;TOTAL TRANSFERENCIAS CORRIENTES;;226.489,97;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS;;226.489,97;
 ; ;;;;
 ; ;;;;
38.06;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANTABRIA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;596.593,64;
;451;Fondo de Suficiencia Global;;596.593,64;
;;TOTAL TRANSFERENCIAS CORRIENTES;;596.593,64;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANTABRIA;;596.593,64;
 ; ;;;;
 ; ;;;;
38.07;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. LA RIOJA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;258.348,59;
;451;Fondo de Suficiencia Global;;258.348,59;
;;TOTAL TRANSFERENCIAS CORRIENTES;;258.348,59;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. LA RIOJA;;258.348,59;
 ; ;;;;
 ; ;;;;
38.10;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ARAGÓN;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;336.673,08;
;451;Fondo de Suficiencia Global;;336.673,08;
;;TOTAL TRANSFERENCIAS CORRIENTES;;336.673,08;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. ARAGÓN;;336.673,08;
 ; ;;;;
 ; ;;;;
38.11;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;96.109,99;
;451;Fondo de Suficiencia Global;;96.109,99;
;;TOTAL TRANSFERENCIAS CORRIENTES;;96.109,99;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA;;96.109,99;
 ; ;;;;
 ; ;;;;
38.12;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;91.317,49;
;451;Fondo de Suficiencia Global;;91.317,49;
;;TOTAL TRANSFERENCIAS CORRIENTES;;91.317,49;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CANARIAS;;91.317,49;
 ; ;;;;
 ; ;;;;
38.14;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;541.685,94;
;451;Fondo de Suficiencia Global;;541.685,94;
;;TOTAL TRANSFERENCIAS CORRIENTES;;541.685,94;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA;;541.685,94;
 ; ;;;;
 ; ;;;;
38.17;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;526.831,04;
;451;Fondo de Suficiencia Global;;526.831,04;
;;TOTAL TRANSFERENCIAS CORRIENTES;;526.831,04;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN;;526.831,04;
 ; ;;;;
 ; ;;;;
38.18;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;34.462,29;
;451;Fondo de Suficiencia Global;;34.462,29;
;;TOTAL TRANSFERENCIAS CORRIENTES;;34.462,29;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. MELILLA;;34.462,29;
 ; ;;;;
 ; ;;;;
38.19;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;43.038,93;
;451;Fondo de Suficiencia Global;;43.038,93;
;;TOTAL TRANSFERENCIAS CORRIENTES;;43.038,93;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. CEUTA;;43.038,93;
 ; ;;;;
 ; ;;;;
38.20;;SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;18.050.876,30;
;452;Liquidación definitiva de la financiación de las Comunidades Autónomas y Ciudades con Estatuto de Autonomía de ejercicios anteriores;;6.880.202,30;
;45200; Fondo de Competitividad;4.079.152,55;;
;45201; Fondo de Cooperación;2.418.068,67;;
;45202; Otros conceptos de liquidación del sistema de financiación;382.981,08;;
;453;Aportación del Estado al Fondo de Garantía;;11.170.674,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;18.050.876,30;
 ; ;;;;
