;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 03 TRIBUNAL DE CUENTAS;
;Programa: 911O Control externo del Sector Público;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
03.01;;TRIBUNAL, FISCALÍA Y SERVICIOS GENERALES;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;1.617,04;
;11;Personal eventual;;1.631,94;
;12;Funcionarios;;48.432,30;
;13;Laborales;;6.718,60;
;15;Incentivos al rendimiento;;4.842,29;
;150;Productividad;;4.825,76;
;151;Gratificaciones;;16,53;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;5.277,70;
;16000; Seguridad Social;4.379,15;;
;16200; Formación y perfeccionamiento del personal;106,28;;
;16204; Acción social;572,27;;
;;TOTAL GASTOS DE PERSONAL;;68.519,87;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;1.922,76;
;202;Arrendamientos de edificios y otras construcciones;;1.922,76;
;21;Reparaciones, mantenimiento y conservación;;740,80;
;22;Material, suministros y otros;;3.591,28;
;22109; Labores Fábrica Nacional Moneda y Timbre;3,99;;
;22502; Locales;250,00;;
;22601; Atenciones protocolarias y representativas;25,00;;
;23;Indemnizaciones por razón del servicio;;561,22;
;24;Gastos de publicaciones;;16,21;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;6.832,27;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;49;Al exterior;;8,50;
;490;Cuota de España al INTOSAI y OLACEFS;;8,50;
;;TOTAL TRANSFERENCIAS CORRIENTES;;8,50;
 ; ;;;;
;6;INVERSIONES REALES;;2.876,52;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;135,20;
;831;Préstamos a largo plazo;;135,20;
;;TOTAL ACTIVOS FINANCIEROS;;135,20;
 ; ;;;;
;;TOTAL TRIBUNAL, FISCALÍA Y SERVICIOS GENERALES;;78.372,36;
 ; ;;;;
 ; ;;;;
;;TOTAL Control externo del Sector Público;;78.372,36;
;;



