;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 04 TRIBUNAL CONSTITUCIONAL;
;Programa: 911P Control Constitucional;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
04.01;;TRIBUNAL CONSTITUCIONAL;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;2.232,23;
;11;Personal eventual;;1.218,48;
;12;Funcionarios;;15.679,35;
;13;Laborales;;935,23;
;15;Incentivos al rendimiento;;234,38;
;151;Gratificaciones;;234,38;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;952,93;
;16000; Seguridad Social;703,81;;
;16200; Formación y perfeccionamiento del personal;109,79;;
;16204; Acción social;129,17;;
;;TOTAL GASTOS DE PERSONAL;;21.252,60;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;31,88;
;202;Arrendamientos de edificios y otras construcciones;;20,00;
;21;Reparaciones, mantenimiento y conservación;;799,00;
;22;Material, suministros y otros;;5.524,68;
;22502; Locales;149,00;;
;22601; Atenciones protocolarias y representativas;69,00;;
;23;Indemnizaciones por razón del servicio;;232,40;
;24;Gastos de publicaciones;;70,90;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;6.658,86;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;3,00;
;359;Otros gastos financieros;;3,00;
;;TOTAL GASTOS FINANCIEROS;;3,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;1.321,54;
;480;Pensión exPresidentes del Tribunal Constitucional (Ley 21/86);;134,29;
;481;Remuneraciones de transición Magistrados (art. 25.1 Ley Orgánica del Tribunal Constitucional, 2/1979, de 3 de octubre);;904,05;
;482;A la Asociación de Letrados del Tribunal Constitucional;;18,00;
;487;Becas formación;;259,20;
;488;Premio "Tomás y Valiente";;6,00;
;49;Al exterior;;2,00;
;490;Cuota a la Conferencia Mundial de Justicia Constitucional;;2,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.323,54;
 ; ;;;;
;6;INVERSIONES REALES;;1.200,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;48,00;
;830;Préstamos a corto plazo;;48,00;
;;TOTAL ACTIVOS FINANCIEROS;;48,00;
 ; ;;;;
;;TOTAL TRIBUNAL CONSTITUCIONAL;;30.486,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Control Constitucional;;30.486,00;
;;



