;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 06 DEUDA PÚBLICA;
;Programa: 951N Amortización y gastos financieros de la deuda pública en moneda extranjera;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
06.01;;BONOS, OBLIGACIONES Y OTRAS DEUDAS;;;
;3;GASTOS FINANCIEROS;;;
;32;De deuda pública en moneda extranjera;;38.300,00;
;320;Intereses;;38.300,00;
;;TOTAL GASTOS FINANCIEROS;;38.300,00;
 ; ;;;;
;;TOTAL BONOS, OBLIGACIONES Y OTRAS DEUDAS;;38.300,00;
 ; ;;;;
 ; ;;;;
06.02;;PRÉSTAMOS;;;
;3;GASTOS FINANCIEROS;;;
;33;De préstamos en moneda extranjera;;10.250,00;
;330;Intereses;;10.100,00;
;339;Otros gastos financieros;;150,00;
;;TOTAL GASTOS FINANCIEROS;;10.250,00;
 ; ;;;;
;;TOTAL PRÉSTAMOS;;10.250,00;
 ; ;;;;
 ; ;;;;
06.05;;OBLIGACIONES DIVERSAS;;;
;3;GASTOS FINANCIEROS;;;
;32;De deuda pública en moneda extranjera;;10.000,00;
;321;Gastos de emisión, modificación y cancelación;;10.000,00;
;33;De préstamos en moneda extranjera;;6,00;
;331;Gastos de emision, modificacion y cancelacion;;6,00;
;35;Intereses de demora y otros gastos financieros;;6,00;
;352;Intereses de demora;;6,00;
;;TOTAL GASTOS FINANCIEROS;;10.012,00;
 ; ;;;;
;;TOTAL OBLIGACIONES DIVERSAS;;10.012,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Amortización y gastos financieros de la deuda pública en moneda extranjera;;58.562,00;
;;



