;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 07 CLASES PASIVAS;
;Programa: 211C Otras pensiones y prestaciones de Clases Pasivas;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
07.01;;PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;49.447,74;
;480;Otras pensiones y prestaciones;;49.447,74;
;;TOTAL TRANSFERENCIAS CORRIENTES;;49.447,74;
 ; ;;;;
;;TOTAL PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;49.447,74;
 ; ;;;;
 ; ;;;;
;;TOTAL Otras pensiones y prestaciones de Clases Pasivas;;49.447,74;
;;



