;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 07 CLASES PASIVAS;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;07.01;;Total;
4;TRANSFERENCIAS CORRIENTES;249,75;;249,75;
42; A la Seguridad Social;249,75;;249,75;
;TOTAL;249,75;;249,75;
;;



