Económica;Explicación;Total (miles euros);Total (euros)
1; Gastos de Personal;292.002,95;292.002.950,00
10;Altos cargos;709,86;709.860,00
11;Personal eventual;512,12;512.120,00
12;Funcionarios;171.042,38;171.042.380,00
13;Laborales;89.123,71;89.123.710,00
16;Cuotas, prestaciones y gastos sociales;30.614,88;30.614.880,00
16000;Seguridad Social;13.662,53;13.662.530,00
16200;Formación y perfeccionamiento del personal;89,32;89.320,00
2; Gastos Corrientes en Bienes y Servicios;99.566,46;99.566.460,00
20;Arrendamientos y cánones;27.993,73;27.993.730,00
202;Arrendamientos de edificios;27.686,80;27.686.800,00
21;Reparaciones, mantenimiento y conservación;9.211,68;9.211.680,00
22;Material, suministros y otros;54.399,52;54.399.520,00
22109;Labores FNMT;7.702,72;7.702.720,00
22601;Atenciones protocolarias;39,78;39.780,00
22610;Representación Embajadores y Jefes de Misión;3.743,52;3.743.520,00
22611;Actos institucionales;972,74;972.740,00
23;Indemnizaciones por razón del servicio;7.961,53;7.961.530,00
3; Gastos Financieros;19,04;19.040,00
35;Intereses de demora y otros gastos financieros;19,04;19.040,00
359;Otros gastos financieros;19,04;19.040,00
4; Transferencias Corrientes;412.116,52;412.116.520,00
44;A entidades del Sector Público Estatal;7.325,81;7.325.810,00
44000–44005;Casas Árabe, África, Asia, América, Mediterráneo;—;—
48;A familias e instituciones sin fines de lucro;2.179,50;2.179.500,00
481–482;Defensa de DDHH, becas, apoyo social;—;—
49;Al exterior;402.611,21;402.611.210,00
493–499;Asistencia social, contribuciones internacionales;—;—
6; Inversiones Reales;51.292,79;51.292.790,00
62;Inversión nueva operativa;—;—
63;Reposición operativa;—;—
8; Activos Financieros;759,6;759.600,00
83;Préstamos fuera del sector público;600;600.000,00
84;Fianzas y depósitos;159,6;159.600,00
—;TOTAL PROGRAMA 142A;855.757,36;855.757.360,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
