;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total;
141M; Dirección y Servicios Generales de Asuntos Exteriores, Unión Europea y Cooperación;59.700,77;23.735,97;6,00;543,19;11.869,80;;22,80;95.878,53;95.878,53;
142A; Acción del Estado en el exterior;292.002,95;99.566,46;19,04;412.116,52;51.292,79;;759,60;855.757,36;855.757,36;
142B; Acción Diplomática ante la Unión Europea;19.033,69;4.174,83;0,89;684,56;505,78;;;24.399,75;24.399,75;
143A; Cooperación para el desarrollo;53.702,12;42.052,30;44,70;605.523,90;7.255,15;55.157,02;234.316,00;998.051,19;998.051,19;
144A; Cooperación, promoción y difusión cultural en el exterior;69.629,31;68.337,67;675,00;2.883,00;6.847,97;;50,00;148.422,95;148.422,95;
467G; Investigación y desarrollo de la Sociedad de la Información;;400,00;;;1.359,66;;;1.759,66;1.759,66;
;TOTAL CONSOLIDADO;494.068,84;238.267,23;745,63;1.021.751,17;79.131,15;55.157,02;235.148,40;2.124.269,44;2.124.269,44;
000X; Transferencias y libramientos internos;;;;646.617,32;;17.918,22;;664.535,54;664.535,54;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;646.617,32;;17.918,22;;664.535,54;664.535,54;
;TOTAL;494.068,84;238.267,23;745,63;1.668.368,49;79.131,15;73.075,24;235.148,40;2.788.804,98;2.788.804,98;
;;



