Económica;Explicación;13.105;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;59.914,58;59.914,58;59.914.580,00
10;Altos cargos;132,23;132,23;132.230,00
11;Personal eventual;1.660,83;1.660,83;1.660.830,00
12;Funcionarios;9.442,07;9.442,07;9.442.070,00
13;Laborales;27.580,19;27.580,19;27.580.190,00
14;Otro personal;7.105,00;7.105,00;7.105.000,00
15;Incentivos al rendimiento;1.625,16;1.625,16;1.625.160,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;12.369,10;12.369,10;12.369.100,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;42.083,82;42.083,82;42.083.820,00
20;Arrendamientos y cánones;50,5;50,5;50.500,00
21;Reparaciones, mantenimiento y conservación;6.639,77;6.639,77;6.639.770,00
22;Material, suministros y otros;34.819,73;34.819,73;34.819.730,00
23;Indemnizaciones por razón del servicio;405,7;405,7;405.700,00
24;Gastos de publicaciones;168,12;168,12;168.120,00
3;GASTOS FINANCIEROS;20;20;20.000,00
35;Intereses de demora y otros gastos financieros;20;20;20.000,00
4;TRANSFERENCIAS CORRIENTES;223,54;223,54;223.540,00
48;A familias e instituciones sin fines de lucro;210;210;210.000,00
49;Al exterior;13,54;13,54;13.540,00
6;INVERSIONES REALES;17.899,78;17.899,78;17.899.780,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;5.836,59;5.836,59;5.836.590,00
63;Inversión de reposición asociada al funcionamiento operativo;9.563,59;9.563,59;9.563.590,00
64;Gastos de inversiones de carácter inmaterial;2.499,60;2.499,60;2.499.600,00
7;TRANSFERENCIAS DE CAPITAL;500;500;500.000,00
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones…;500;500;500.000,00
8;ACTIVOS FINANCIEROS;440;440;440.000,00
83;Concesión de préstamos fuera del Sector Público;440;440;440.000,00
9;PASIVOS FINANCIEROS;50;50;50.000,00
94;Devolución de depósitos y fianzas;50;50;50.000,00
;TOTAL Administración del Patrimonio Histórico-Nacional;121.131,72;121.131,72;121.131.720,00
