;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 111N Dirección y Servicios Generales de Justicia;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;410,88;
;11;Personal eventual;;813,13;
;12;Funcionarios;;92.565,86;
;13;Laborales;;3.009,14;
;15;Incentivos al rendimiento;;5.628,35;
;150;Productividad;;5.560,54;
;151;Gratificaciones;;67,81;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;2.813,45;
;16000; Seguridad Social;1.992,73;;
;16200; Formación y perfeccionamiento del personal;67,80;;
;16201; Economatos y comedores;233,79;;
;16204; Acción social;182,10;;
;;TOTAL GASTOS DE PERSONAL;;105.240,81;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;2.012,13;
;202;Arrendamientos de edificios y otras construcciones;;2.012,13;
;21;Reparaciones, mantenimiento y conservación;;1.482,42;
;22;Material, suministros y otros;;10.337,71;
;22502; Locales;245,00;;
;22601; Atenciones protocolarias y representativas;96,11;;
;23;Indemnizaciones por razón del servicio;;626,54;
;24;Gastos de publicaciones;;135,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;14.593,80;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;15,00;
;352;Intereses de demora;;15,00;
;;TOTAL GASTOS FINANCIEROS;;15,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;49;Al exterior;;241,83;
;491;Conferencia de Ministros de Justicia de Países Iberoamericanos;;89,83;
;492;Cuota al Instituto de las Naciones Unidas para la prevención del delito y tratamiento del delincuente;;22,00;
;493;GRECO - Grupo de Estados contra la Corrupción;;90,00;
;495;Programa Iberoamericano de acceso a la Justicia;;40,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;241,83;
 ; ;;;;
;6;INVERSIONES REALES;;12.747,54;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;63,63;
;830;Préstamos a corto plazo;;5,49;
;831;Préstamos a largo plazo;;58,14;
;;TOTAL ACTIVOS FINANCIEROS;;63,63;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;132.902,61;
 ; ;;;;
 ; ;;;;
;;TOTAL Dirección y Servicios Generales de Justicia;;132.902,61;
;;



