;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 135M Protección de datos de carácter personal;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.301;;AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;946,70;
;150;Productividad;;914,63;
;151;Gratificaciones;;32,07;
;16200; Formación y perfeccionamiento del personal;61,18;;
;16201; Economatos y comedores;20,33;;
;16204; Acción social;30,45;;
;;TOTAL GASTOS DE PERSONAL;;11.600,40;
 ; ;;;;
;202;Arrendamientos de edificios y otras construcciones;;2.199,00;
;22502; Locales;4,00;;
;22601; Atenciones protocolarias y representativas;4,80;;
;;TOTAL AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS;;18.420,74;
 ; ;;;;
 ; ;;;;
;;TOTAL Protección de datos de carácter personal;;18.420,74;
;;



