;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 312E Asistencia sanitaria del Mutualismo Administrativo;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.102;;MUTUALIDAD GENERAL JUDICIAL;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;78.406,83;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;23.083,59;
;484;Farmacia;;19.436,55;
;485;Prótesis y otras prestaciones;;3.647,04;
;;TOTAL TRANSFERENCIAS CORRIENTES;;23.083,59;
 ; ;;;;
;;TOTAL MUTUALIDAD GENERAL JUDICIAL;;101.490,42;
 ; ;;;;
 ; ;;;;
;;TOTAL Asistencia sanitaria del Mutualismo Administrativo;;101.490,42;
;;



