;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 921R Publicidad de las normas legales;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.303;;AGENCIA ESTATAL BOLETÍN OFICIAL DEL ESTADO;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;853,97;
;150;Productividad;;760,76;
;151;Gratificaciones;;93,21;
;16200; Formación y perfeccionamiento del personal;243,68;;
;16201; Economatos y comedores;237,53;;
;16204; Acción social;119,20;;
;;TOTAL GASTOS DE PERSONAL;;20.696,39;
 ; ;;;;
;22502; Locales;400,00;;
;22601; Atenciones protocolarias y representativas;2,34;;
;451;A la Generalitat de Catalunya. Suplemento catalán del BOE;;273,00;
;;TOTAL AGENCIA ESTATAL BOLETÍN OFICIAL DEL ESTADO;;32.124,74;
 ; ;;;;
 ; ;;;;
;;TOTAL Publicidad de las normas legales;;32.124,74;
;;



