;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.02;;SECRETARÍA DE ESTADO DE JUSTICIA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;16.714,74;
;411;Al Centro de Estudios Jurídicos de la Administración de Justicia;;16.714,74;
;;TOTAL TRANSFERENCIAS CORRIENTES;;16.714,74;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;777,00;
;711;Al Centro de Estudios Jurídicos de la Administración de Justicia;;777,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;777,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE JUSTICIA;;17.491,74;
 ; ;;;;
 ; ;;;;
13.08;;SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;81.212,21;
;410;Al Centro de Estudios Políticos y Constitucionales;;2.774,99;
;411;Al Centro de Investigaciones Sociológicas.;;11.450,76;
;417;Al Consejo de Administración del Patrimonio Nacional;;66.986,46;
;;TOTAL TRANSFERENCIAS CORRIENTES;;81.212,21;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;19.457,25;
;710;Al Centro de Estudios Políticos y Constitucionales;;335,00;
;711;Al Centro de Investigaciones Sociológicas.;;50,98;
;717;Al Consejo de Administración del Patrimonio Nacional;;19.071,27;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;19.457,25;
 ; ;;;;
;;TOTAL SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;;100.669,46;
 ; ;;;;
 ; ;;;;
13.301;;AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS;;;
;402;Al Estado, para compensar gastos de gestión centralizada;;329,99;
;;TOTAL AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS;;329,99;
 ; ;;;;
 ; ;;;;
13.303;;AGENCIA ESTATAL BOLETÍN OFICIAL DEL ESTADO;;;
;402;Al Estado, para compensar gastos de gestión centralizada;;989,71;
;;TOTAL AGENCIA ESTATAL BOLETÍN OFICIAL DEL ESTADO;;989,71;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;119.480,90;
;;



