Clasificación por programas;Explicación;Estado;OO.AA.;Resto Entidades;Total (miles euros);Total (euros)
111N;Dirección y Servicios Generales de Justicia;132.902,61;–;–;132.902,61;132.902.610,00
111Q;Formación del Personal de la Administración de Justicia;–;10.154,97;–;10.154,97;10.154.970,00
111R;Formación de la Carrera Fiscal;–;10.112,18;–;10.112,18;10.112.180,00
112A;Tribunales de Justicia y Ministerio Fiscal;1.963.188,44;–;–;1.963.188,44;1.963.188.440,00
113M;Registros vinculados con la Fe Pública;36.669,01;–;–;36.669,01;36.669.010,00
135M;Protección de datos de carácter personal;–;–;18.420,74;18.420,74;18.420.740,00
222M;Prestaciones económicas del Mutualismo Administrativo;–;26.682,41;–;26.682,41;26.682.410,00
312E;Asistencia sanitaria del Mutualismo Administrativo;–;101.490,42;–;101.490,42;101.490.420,00
337A;Administración del Patrimonio Histórico-Nacional;–;121.081,72;–;121.081,72;121.081.720,00
337D;Administración de los Reales Patronatos;–;5.501,51;–;5.501,51;5.501.510,00
42KD;C11.I04 Plan de Transición Energética en la AGE;–;22.050,98;–;22.050,98;22.050.980,00
462M;Investigación y estudios sociológicos y constitucionales;–;17.177,75;–;17.177,75;17.177.750,00
467G;Investigación y desarrollo de la Sociedad de la Información;1.582,63;–;–;1.582,63;1.582.630,00
911Q;Apoyo a la gestión administrativa de la Jefatura del Estado;7.775,83;–;–;7.775,83;7.775.830,00
912M;Presidencia del Gobierno;55.594,40;–;–;55.594,40;55.594.400,00
912O;Relaciones con las Cortes Generales y apoyo a la Alta Dirección;48.341,99;–;–;48.341,99;48.341.990,00
921Q;Cobertura informativa;78.363,60;–;–;78.363,60;78.363.600,00
921R;Publicidad de las normas legales;–;–;32.124,74;32.124,74;32.124.740,00
921S;Asesoramiento y defensa de los intereses del Estado;44.657,51;–;–;44.657,51;44.657.510,00
TOTAL CONSOLIDADO;;2.369.076,02;314.251,94;50.545,48;2.733.873,44;2.733.873.440,00
000X;Transferencias y libramientos internos;118.161,20;–;1.319,70;119.480,90;119.480.900,00
TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;118.161,20;–;1.319,70;119.480,90;119.480.900,00
;TOTAL;2.487.237,22;314.251,94;51.865,18;2.853.354,34;2.853.354.340,00
