Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
14.01;1;GASTOS DE PERSONAL;5.793,08;5.793.080 €
14.01;12;Funcionarios;4.858,50;4.858.500 €
14.01;13;Laborales;568,71;568.710 €
14.01;16;Cuotas, prestaciones y gastos sociales;365,87;365.870 €
14.01;16000;Seguridad Social;365,87;365.870 €
14.01;—;TOTAL MINISTERIO Y SUBSECRETARÍA;5.793,08;5.793.080 €
14.03;6;INVERSIONES REALES;30.540,00;30.540.000 €
14.03;—;TOTAL SECRETARÍA DE ESTADO DE DEFENSA;30.540,00;30.540.000 €
14.101;1;GASTOS DE PERSONAL;78.288,35;78.288.350 €
14.101;15;Incentivos al rendimiento;3.992,23;3.992.230 €
14.101;150;Productividad;2.737,84;2.737.840 €
14.101;151;Gratificaciones;267,67;267.670 €
14.101;153;Complemento de dedicación especial;986,72;986.720 €
14.101;16000;Seguridad Social;15.837,76;15.837.760 €
14.101;16200;Formación y perfeccionamiento del personal;156,03;156.030 €
14.101;16201;Economatos y comedores;177,06;177.060 €
14.101;16204;Acción social;206,32;206.320 €
14.101;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;56.399,13;56.399.130 €
14.101;22502;Locales;150;150.000 €
14.101;22601;Atenciones protocolarias y representativas;2,34;2.340 €
14.101;3;GASTOS FINANCIEROS;310;310.000 €
14.101;35;Intereses de demora y otros gastos financieros;310;310.000 €
14.101;352;Intereses de demora;300;300.000 €
14.101;359;Otros gastos financieros;10;10.000 €
14.101;4;TRANSFERENCIAS CORRIENTES;1.668,78;1.668.780 €
14.101;48;A familias e instituciones sin fines de lucro;1.317,65;1.317.650 €
14.101;480;A familias e instituciones sin fines de lucro;1.250,00;1.250.000 €
14.101;485;A organismos específicos, servicios, etc.;67,05;67.050 €
14.101;48501;Al Real Aeroclub de Lugo;30;30.000 €
14.101;486;Pensiones e indemnizaciones;0,6;600 €
14.101;49;Al exterior;351,13;351.130 €
14.101;490;A organismos internacionales;351,13;351.130 €
14.101;6;INVERSIONES REALES;58.852,14;58.852.140 €
14.101;8;ACTIVOS FINANCIEROS;250;250.000 €
14.101;83;Concesión de préstamos fuera del Sector Público;250;250.000 €
14.101;831;Préstamos a largo plazo;250;250.000 €
14.101;—;TOTAL INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL;195.768,40;195.768.400 €
;;TOTAL Investigación y estudios de las Fuerzas Armadas;232.101,48;232.101.480 €
