;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 121M Administración y Servicios Generales de Defensa;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;14.01;14.02;14.03;14.12;14.17;14.22;;;Total;
1;GASTOS DE PERSONAL;1.818.795,40;;;;;;;;1.818.795,40;
10; Altos cargos;1.141,90;;;;;;;;1.141,90;
11; Personal eventual;1.101,77;;;;;;;;1.101,77;
12; Funcionarios;1.495.170,54;;;;;;;;1.495.170,54;
13; Laborales;71.477,70;;;;;;;;71.477,70;
15; Incentivos al rendimiento;180.168,06;;;;;;;;180.168,06;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;69.735,43;;;;;;;;69.735,43;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;47.235,59;24.059,07;239.759,46;118.763,09;45.910,05;14.347,75;;;490.075,01;
20; Arrendamientos y cánones;560,20;343,65;4.672,40;160,60;132,70;40,00;;;5.909,55;
21; Reparaciones, mantenimiento y conservación;1.474,20;379,33;797,15;2.065,90;121,00;499,00;;;5.336,58;
22; Material, suministros y otros;34.828,87;17.247,33;234.039,91;88.151,88;38.757,55;13.808,75;;;426.834,29;
23; Indemnizaciones por razón del servicio;10.022,32;6.088,76;250,00;28.384,71;6.898,80;;;;51.644,59;
24; Gastos de publicaciones;350,00;;;;;;;;350,00;
4;TRANSFERENCIAS CORRIENTES;1.404,16;;123.281,70;60,00;72,00;46,50;;;124.864,36;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;42,00;;1,50;;;;;;43,50;
48; A familias e instituciones sin fines de lucro;1.338,00;;6.850,00;60,00;30,00;46,50;;;8.324,50;
49; Al exterior;24,16;;116.430,20;;42,00;;;;116.496,36;
6;INVERSIONES REALES;1.620,69;2.458,18;81.022,72;7.452,28;3.860,00;3.926,82;;;100.340,69;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;587,99;;;;;;;;587,99;
65; Inversiones militares en infraestructura y otros bienes;524,00;;;;;;;;524,00;
66; Inversiones militares asociadas al funcionamiento operativo de los servicios;508,70;2.458,18;81.022,72;7.452,28;3.860,00;3.926,82;;;99.228,70;
8;ACTIVOS FINANCIEROS;2.833,58;;;;;;;;2.833,58;
83; Concesión de préstamos fuera del Sector Público;2.833,58;;;;;;;;2.833,58;
;TOTAL;1.871.889,42;26.517,25;444.063,88;126.275,37;49.842,05;18.321,07;;;2.536.909,04;
;;



