;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 121O Personal en reserva;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
14.01;;MINISTERIO Y SUBSECRETARÍA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;521.534,15;
;14;Otro personal;;58.465,22;
;;TOTAL GASTOS DE PERSONAL;;579.999,37;
 ; ;;;;
;;TOTAL MINISTERIO Y SUBSECRETARÍA;;579.999,37;
 ; ;;;;
 ; ;;;;
;;TOTAL Personal en reserva;;579.999,37;
;;



