;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 122M Gastos Operativos de las Fuerzas Armadas;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
14.01;;MINISTERIO Y SUBSECRETARÍA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;1.473.206,99;
;13;Laborales;;40.719,39;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;236.012,31;
;16000; Seguridad Social;236.012,31;;
;;TOTAL GASTOS DE PERSONAL;;1.749.938,69;
 ; ;;;;
;;TOTAL MINISTERIO Y SUBSECRETARÍA;;1.749.938,69;
 ; ;;;;
 ; ;;;;
14.02;;CUARTEL GENERAL DEL EMAD;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;79,20;
;21;Reparaciones, mantenimiento y conservación;;464,38;
;22;Material, suministros y otros;;15.041,69;
;22611; Gastos protocolarios y representativos derivados de actos institucionales;6,60;;
;23;Indemnizaciones por razón del servicio;;4.910,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;20.495,27;
 ; ;;;;
;;TOTAL CUARTEL GENERAL DEL EMAD;;20.495,27;
 ; ;;;;
 ; ;;;;
14.03;;SECRETARÍA DE ESTADO DE DEFENSA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;4.000,00;
;128;Gastos originados por participación de las Fuerzas Armadas en operaciones de mantenimiento de la paz;;4.000,00;
;;TOTAL GASTOS DE PERSONAL;;4.000,00;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;16.271,85;
;21;Reparaciones, mantenimiento y conservación;;2.054,00;
;22;Material, suministros y otros;;124.944,65;
;22502; Locales;2,00;;
;22611; Gastos protocolarios y representativos derivados de actos institucionales;44,82;;
;228;Gastos originados por participación de las Fuerzas Armadas en operaciones de mantenimiento de la paz;;100.000,00;
;23;Indemnizaciones por razón del servicio;;4.602,72;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;147.873,22;
 ; ;;;;
;6;INVERSIONES REALES;;;
;668;Gastos originados por participación de las Fuerzas Armadas en operaciones de mantenimiento de la paz;;210.360,10;
;;TOTAL INVERSIONES REALES;;210.360,10;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE DEFENSA;;362.233,32;
 ; ;;;;
 ; ;;;;
14.12;;EJÉRCITO DE TIERRA;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;84.530,26;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;84.530,26;
 ; ;;;;
;;TOTAL EJÉRCITO DE TIERRA;;84.530,26;
 ; ;;;;
 ; ;;;;
14.17;;ARMADA;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;16.275,18;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;16.275,18;
 ; ;;;;
;;TOTAL ARMADA;;16.275,18;
 ; ;;;;
 ; ;;;;
14.22;;EJÉRCITO DEL AIRE Y DEL ESPACIO;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;2.073,10;
;21;Reparaciones, mantenimiento y conservación;;1.820,00;
;22;Material, suministros y otros;;63.802,43;
;22502; Locales;111,50;;
;23;Indemnizaciones por razón del servicio;;4.330,15;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;72.025,68;
 ; ;;;;
;6;INVERSIONES REALES;;65,00;
 ; ;;;;
;;TOTAL EJÉRCITO DEL AIRE Y DEL ESPACIO;;72.090,68;
 ; ;;;;
 ; ;;;;
;;TOTAL Gastos Operativos de las Fuerzas Armadas;;2.305.563,40;
;;



