;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 222M Prestaciones económicas del Mutualismo Administrativo;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
14.113;;INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;1.195,27;
;150;Productividad;;255,04;
;151;Gratificaciones;;82,20;
;153;Complemento de dedicación especial;;858,03;
;16000; Seguridad Social;1.663,58;;
;16200; Formación y perfeccionamiento del personal;12,96;;
;16204; Acción social;60,68;;
;;TOTAL GASTOS DE PERSONAL;;21.927,37;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;300,62;
;22502; Locales;464,25;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;9.357,75;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;31;De préstamos en euros;;3,01;
;310;Intereses;;3,01;
;;TOTAL GASTOS FINANCIEROS;;3,01;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;46.055,55;
;480;Subsidios e indemnizaciones;;10.149,23;
;481;Protección a la familia;;28.653,91;
;482;Servicios Sociales;;5.133,68;
;483;Asistencia Social;;1.172,20;
;486;Prestaciones económicas de las Mutualidades integradas;;946,53;
;;TOTAL TRANSFERENCIAS CORRIENTES;;46.055,55;
 ; ;;;;
;6;INVERSIONES REALES;;1.000,33;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;182,18;
;830;Préstamos a corto plazo;;55,70;
;831;Préstamos a largo plazo;;126,48;
;84;Constitución de depósitos y fianzas;;16,02;
;840;Depósitos;;4,00;
;841;Fianzas;;12,02;
;;TOTAL ACTIVOS FINANCIEROS;;198,20;
 ; ;;;;
;9;PASIVOS FINANCIEROS;;;
;94;Devolución de depósitos y fianzas;;2,00;
;940;Devolución de depósitos;;1,50;
;941;Devolución de fianzas;;0,50;
;;TOTAL PASIVOS FINANCIEROS;;2,00;
 ; ;;;;
;;TOTAL INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;;78.544,21;
 ; ;;;;
 ; ;;;;
;;TOTAL Prestaciones económicas del Mutualismo Administrativo;;78.544,21;
;;



