;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 42KD C11.I04 Plan de Transición Energética en la Administración General del Estado;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;14.50;14.301;Total;
6;INVERSIONES REALES;156.645,33;2.947,56;159.592,89;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;156.645,33;2.947,56;159.592,89;
;TOTAL;156.645,33;2.947,56;159.592,89;
;;



