;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 912Q Asesoramiento para la protección de los intereses nacionales;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
14.301;;CENTRO NACIONAL DE INTELIGENCIA;;;
;1;GASTOS DE PERSONAL;;216.651,66;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22608; Gastos reservados;19.800,00;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;56.929,09;
 ; ;;;;
;6;INVERSIONES REALES;;60.177,29;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;79;Al exterior;;50,00;
;790;Transferencias al exterior;;50,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;50,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;300,00;
;830;Préstamos a corto plazo;;300,00;
;;TOTAL ACTIVOS FINANCIEROS;;300,00;
 ; ;;;;
;;TOTAL CENTRO NACIONAL DE INTELIGENCIA;;334.108,04;
 ; ;;;;
 ; ;;;;
;;TOTAL Asesoramiento para la protección de los intereses nacionales;;334.108,04;
;;



