;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 422A Incentivos regionales a la localización industrial;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;15.14;;Total;
1;GASTOS DE PERSONAL;2.017,63;;2.017,63;
12; Funcionarios;1.740,79;;1.740,79;
13; Laborales;107,16;;107,16;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;169,68;;169,68;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;27,63;;27,63;
22; Material, suministros y otros;4,89;;4,89;
23; Indemnizaciones por razón del servicio;22,74;;22,74;
3;GASTOS FINANCIEROS;10,00;;10,00;
35; Intereses de demora y otros gastos financieros;10,00;;10,00;
7;TRANSFERENCIAS DE CAPITAL;142.000,00;;142.000,00;
77; A empresas privadas;142.000,00;;142.000,00;
;TOTAL;144.055,26;;144.055,26;
;;



