;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 42KD C11.I04 Plan de Transición Energética en la Administración General del Estado;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;15.50;;Total;
8;ACTIVOS FINANCIEROS;30.410,76;;30.410,76;
85; Adquisición de acciones y participaciones del Sector Público;30.410,76;;30.410,76;
;TOTAL;30.410,76;;30.410,76;
;;



