;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 467G Investigación y desarrollo de la Sociedad de la Información;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
15.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;1.668,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.668,00;
 ; ;;;;
;6;INVERSIONES REALES;;3.983,76;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;5.651,76;
 ; ;;;;
 ; ;;;;
15.04;;DIRECCIÓN GENERAL DEL PATRIMONIO DEL ESTADO;;;
;6;INVERSIONES REALES;;9.200,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DEL PATRIMONIO DEL ESTADO;;9.200,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Investigación y desarrollo de la Sociedad de la Información;;14.851,76;
;;



