;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 931N Política presupuestaria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
15.11;;INTERVENCIÓN GENERAL DE LA ADMINISTRACIÓN DEL ESTADO;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;8.516,02;
;13;Laborales;;393,23;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;776,39;
;16000; Seguridad Social;690,00;;
;16200; Formación y perfeccionamiento del personal;86,39;;
;;TOTAL GASTOS DE PERSONAL;;9.685,64;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;25,00;
;21;Reparaciones, mantenimiento y conservación;;3.761,71;
;22;Material, suministros y otros;;5.340,54;
;23;Indemnizaciones por razón del servicio;;23,33;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;9.150,58;
 ; ;;;;
;6;INVERSIONES REALES;;22.760,00;
 ; ;;;;
;;TOTAL INTERVENCIÓN GENERAL DE LA ADMINISTRACIÓN DEL ESTADO;;41.596,22;
 ; ;;;;
 ; ;;;;
15.12;;SECRETARÍA DE ESTADO DE PRESUPUESTOS Y GASTOS;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;80,31;
;11;Personal eventual;;235,54;
;12;Funcionarios;;2.605,39;
;15;Incentivos al rendimiento;;3.794,94;
;150;Productividad;;3.765,30;
;151;Gratificaciones;;29,64;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;175,00;
;16000; Seguridad Social;175,00;;
;;TOTAL GASTOS DE PERSONAL;;6.891,18;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;63,47;
;22601; Atenciones protocolarias y representativas;9,36;;
;23;Indemnizaciones por razón del servicio;;58,66;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;122,13;
 ; ;;;;
;6;INVERSIONES REALES;;5,61;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE PRESUPUESTOS Y GASTOS;;7.018,92;
 ; ;;;;
 ; ;;;;
15.13;;DIRECCIÓN GENERAL DE COSTES DE PERSONAL;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,05;
;12;Funcionarios;;5.284,31;
;13;Laborales;;261,71;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;703,42;
;16000; Seguridad Social;703,42;;
;;TOTAL GASTOS DE PERSONAL;;6.310,49;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;4,22;
;22;Material, suministros y otros;;58,66;
;22601; Atenciones protocolarias y representativas;2,34;;
;23;Indemnizaciones por razón del servicio;;6,73;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;69,61;
 ; ;;;;
;6;INVERSIONES REALES;;8,23;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE COSTES DE PERSONAL;;6.388,33;
 ; ;;;;
 ; ;;;;
15.14;;SECRETARÍA GENERAL DE FONDOS EUROPEOS;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;193,25;
;11;Personal eventual;;53,47;
;12;Funcionarios;;9.810,22;
;13;Laborales;;168,32;
;15;Incentivos al rendimiento;;2.080,67;
;150;Productividad;;2.080,67;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;835,00;
;16000; Seguridad Social;835,00;;
;;TOTAL GASTOS DE PERSONAL;;13.140,93;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;53,43;
;22601; Atenciones protocolarias y representativas;9,36;;
;23;Indemnizaciones por razón del servicio;;180,10;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;233,53;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;49;Al exterior;;418,58;
;493;Aportación española al programa Interreg Europe II 2021-2027;;106,14;
;494;Aportación española al programa Interact IV 2021-2027;;153,17;
;496;Aportación española al programa Urbact IV 2021-2027;;124,58;
;497;Aportación española al programa Interreg EuroMED 2021-2027;;34,69;
;;TOTAL TRANSFERENCIAS CORRIENTES;;418,58;
 ; ;;;;
;6;INVERSIONES REALES;;2.271,39;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FONDOS EUROPEOS;;16.064,43;
 ; ;;;;
 ; ;;;;
