;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
337B; Conservación y restauración de bienes culturales;8.027,14;;;8.027,14;
42KD; C11.I04 Plan de Transición Energética en la Administración General del Estado;30.410,76;;;30.410,76;
422A; Incentivos regionales a la localización industrial;144.055,26;;;144.055,26;
462N; Investigación y estudios estadísticos y económicos;;6.512,02;;6.512,02;
467G; Investigación y desarrollo de la Sociedad de la Información;14.851,76;;;14.851,76;
492N; Regulación y vigilancia de la competencia en el Mercado de Tabacos;;8.717,91;;8.717,91;
92SC; C19.I03 Competencias digitales para el empleo. Servicios de carácter general;;2.941,00;;2.941,00;
921T; Servicios de transportes de Ministerios;;48.534,32;;48.534,32;
922N; Coordinación y relaciones financieras con los Entes Territoriales;16.008.898,70;;;16.008.898,70;
923A; Gestión del Patrimonio del Estado;226.782,29;;;226.782,29;
923M; Dirección y Servicios Generales de Hacienda y Función Pública;1.083.334,85;;;1.083.334,85;
923N; Formación del personal de Economía y Hacienda;;25.120,06;;25.120,06;
93KE; C11.I05 Transformación de la Administración para la Ejecución del PRTR. Administración Financiera y Tributaria;467,00;;;467,00;
931N; Política presupuestaria;77.089,23;;;77.089,23;
931O; Política tributaria;5.969,21;;;5.969,21;
931P; Control interno y Contabilidad Pública;92.289,02;;;92.289,02;
931Q; Control y Supervisión de la Política Fiscal;;;10.578,90;10.578,90;
932A; Aplicación del sistema tributario estatal;;;1.395.873,89;1.395.873,89;
932M; Gestión del catastro inmobiliario;114.037,93;;;114.037,93;
932N; Resolución de reclamaciones económico-administrativas;31.297,26;;;31.297,26;
;TOTAL CONSOLIDADO;17.837.510,41;91.825,31;1.406.452,79;19.335.788,51;
000X; Transferencias y libramientos internos;1.400.525,49;21.453,66;;1.421.979,15;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;1.400.525,49;21.453,66;;1.421.979,15;
;TOTAL;19.238.035,90;113.278,97;1.406.452,79;20.757.767,66;
;;



