;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
16.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;107,60;
;435;A la Agencia Estatal de Administración Tributaria, por los gastos comunes del edificio de la calle del Plomo en Madrid;;107,60;
;;TOTAL TRANSFERENCIAS CORRIENTES;;107,60;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;107,60;
 ; ;;;;
 ; ;;;;
16.02;;SECRETARÍA DE ESTADO DE SEGURIDAD;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;2.038,70;
;410;A la Gerencia de Infraestructuras y Equipamiento de la Seguridad del Estado;;2.038,70;
;;TOTAL TRANSFERENCIAS CORRIENTES;;2.038,70;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE SEGURIDAD;;2.038,70;
 ; ;;;;
 ; ;;;;
16.03;;DIRECCIÓN GENERAL DE LA POLICÍA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;3.750,00;
;410;Al Centro Universitario de Formación de la Policía Nacional;;3.750,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;3.750,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;250,00;
;710;Al Centro Universitario de Formación de la Policía Nacional;;250,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;250,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE LA POLICÍA;;4.000,00;
 ; ;;;;
 ; ;;;;
16.101;;JEFATURA CENTRAL DE TRÁFICO;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;40;A la Administración del Estado;;136.154,92;
;400;Al Estado, para generar crédito en el Ministerio del Interior, según la DIsposición adicional segunda de la Ley Orgánica 6/2011;;1.270,00;
;401;Al Estado;;116.218,84;
;402;Al Estado, para compensar gastos de gestión centralizada;;18.666,08;
;;TOTAL TRANSFERENCIAS CORRIENTES;;136.154,92;
 ; ;;;;
;;TOTAL JEFATURA CENTRAL DE TRÁFICO;;136.154,92;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;142.301,22;
;;



