;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 441O Subvenciones y apoyo al transporte aéreo;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
17.34;;DIRECCIÓN GENERAL DE AVIACIÓN CIVIL;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;47;A empresas privadas;;8.600,00;
;470;Contrato de Servicio de Transporte aéreo para satisfacer Obligaciones de Servicio Público en Canarias;;3.800,00;
;471;Contrato de Servicio de Transporte aéreo para satisfacer Obligaciones de Servicio Público en Menorca;;1.800,00;
;472;Contrato de Servicio de Transporte aéreo para satisfacer Obligaciones de Servicio Público en Melilla;;3.000,00;
;48;A familias e instituciones sin fines de lucro;;565.260,05;
;483;Subvención al tráfico aéreo regular;;560.810,05;
;487;Para satisfacer bonificaciones en billetes de transporte aéreo expedidos a familias numerosas;;4.450,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;573.860,05;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE AVIACIÓN CIVIL;;573.860,05;
 ; ;;;;
 ; ;;;;
;;TOTAL Subvenciones y apoyo al transporte aéreo;;573.860,05;
;;



