;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 453B Creación de infraestructura de carreteras;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
17.38;;DIRECCIÓN GENERAL DE CARRETERAS;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;17.335,98;
;13;Laborales;;13.430,38;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;5.000,78;
;16000; Seguridad Social;5.000,78;;
;;TOTAL GASTOS DE PERSONAL;;35.828,18;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;759,91;
;22601; Atenciones protocolarias y representativas;2,25;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;759,91;
 ; ;;;;
;6;INVERSIONES REALES;;;
;602;Destinado a atender los efectos derivados de la resolución de los contratos de concesión de obra pública;;1,00;
;;TOTAL INVERSIONES REALES;;1.065.624,66;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;453.735,00;
;750;A la Comunidad Foral de Navarra;;5.735,00;
;75001; A la Comunidad Foral de Navarra para culminar ejecución de proyecto de pista ciclable Irurtzun-Agurain;1.000,00;;
;75002; A la Comunidad Foral de Navarra. Ejecución de variante Lesaka NA-4000;3.750,00;;
;75003; A la Comunidad Foral de Navarra para redacción de proyecto de variante de Bera en la carretera NA-121;885,00;;
;75004; A la Comunidad Foral de Navarra. Redacción proyecto segunda y tercera fase variante NA-4410;100,00;;
;754;A la Generalitat de Catalunya;;18.000,00;
;75401; A la Generalitat de Catalunya para actuaciones en el Maresme N-II;5.000,00;;
;75402; A la Generalitat de Catalunya para la mejora de la conectividad en la AP-2 y AP-7;8.000,00;;
;75403; A la Generalitat de Catalunya para la mejora de la N-260 Eje Pirenaico;5.000,00;;
;755;Convenio con la Comunidad Autónoma de Canarias;;210.000,00;
;756;Ejecución sentencias del Tribunal Supremo 2075/2017, 255/2018, 415/2018 y 1095/2018, derivadas del convenio de colaboración entre la Administración General del Estado y la Comunidad Autónoma de Canarias de 31 de enero de 2006;;200.000,00;
;758;Resto de Transferencias a Comunidades Autónomas;;18.500,00;
;75801; Al Gobierno de Navarra para actuaciones en la N-121 de su titularidad que den continuidad a la Red de carreteras del Estado en la Comunidad Foral;15.000,00;;
;75802; A la Junta de Extremadura para adecuación N-630a (Tramo: Av. de España y Av. Martín Palomino. Plasencia);500,00;;
;75805; Convenio con la Junta de Comunidades de Castilla-La Mancha para la realización de actuaciones de mejora capacidad de la N-5A;2.000,00;;
;75806; A la Comunidad Autónoma de la Región de Murcia para mejora de la accesibilidad de la A-33 en el entorno de Jumilla;1.000,00;;
;759;A la Comunidad Autónoma de la Región de Murcia para actuaciones en la Autovía Alquerías-Santomera;;1.500,00;
;76;A Entidades Locales;;16.799,35;
;763;CC.LL. por asunción de competencias derivadas del cambio de titularidad de determinados tramos de carreteras estatales a vías urbanas;;2.418,35;
;767;Al Cabildo Insular de La Palma para la mejora de la carretera de acceso al Instituto Astrofísico de Canarias;;1.000,00;
;768;Resto de Transferencias a Entidades Locales;;13.381,00;
;76803; Al Ayuntamiento de Las Palmas de Gran Canaria para financiar el proyecto Metroguagua;5.000,00;;
;76804; Al Ayuntamiento de Andoain. Redacción estudio de la modificación del actual trazado de la N-1 a su paso por la localidad de Andoain y el aprovechamiento y la regeneración de los actuales espacios;476,00;;
;76809; Convenio con el Ayuntamiento de Valencia para la rehabilitación Torre Miramar;100,00;;
;76810; Convenio con la Diputación Foral de Álava por obras de ampliación de la AP-1. Enlace de Armiñón;1.205,00;;
;76812; Ajuntament Sant Just Desvern. Construcción del puente para tráfico rodado que conecta el municipio de Sant Feliu de Llobregat y el barrio Luí de Sant Just Desvern con la B-23;1.000,00;;
;76814; A la Diputación Foral de Álava para la construcción de puente sobre el río Zadorra;4.000,00;;
;76815; Al Ayuntamiento de Lladó para mejora de accesos y entorno del Monasterio de Santa María de Lladó;600,00;;
;76816; A la Diputación de Huelva para realización de accesos a puente internacional sobre el río Guadiana en Sanlúcar de Guadiana;1.000,00;;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;470.534,35;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;20.800,00;
;830;Préstamos a corto plazo;;20.800,00;
;;TOTAL ACTIVOS FINANCIEROS;;20.800,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE CARRETERAS;;1.593.547,10;
 ; ;;;;
 ; ;;;;
;;TOTAL Creación de infraestructura de carreteras;;1.593.547,10;
;;



