;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 453M Ordenación e inspección del transporte terrestre;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.39;;Total;
1;GASTOS DE PERSONAL;5.336,24;;5.336,24;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;4.680,45;;4.680,45;
13; Laborales;69,75;;69,75;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;525,00;;525,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.275,55;;2.275,55;
22; Material, suministros y otros;2.275,55;;2.275,55;
4;TRANSFERENCIAS CORRIENTES;105,00;;105,00;
48; A familias e instituciones sin fines de lucro;92,00;;92,00;
49; Al exterior;13,00;;13,00;
6;INVERSIONES REALES;2.800,00;;2.800,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;178,00;;178,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.720,00;;1.720,00;
64; Gastos de inversiones de carácter inmaterial;902,00;;902,00;
7;TRANSFERENCIAS DE CAPITAL;13.788,00;;13.788,00;
77; A empresas privadas;9.930,00;;9.930,00;
78; A familias e instituciones sin fines de lucro;3.858,00;;3.858,00;
;TOTAL;24.304,79;;24.304,79;
;;



