;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 453N Regulación y supervisión de la seguridad ferroviaria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
17.302;;AGENCIA ESTATAL DE SEGURIDAD FERROVIARIA;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;844,66;
;150;Productividad;;790,33;
;151;Gratificaciones;;54,33;
;16200; Formación y perfeccionamiento del personal;55,00;;
;16204; Acción social;20,00;;
;;TOTAL GASTOS DE PERSONAL;;6.896,05;
 ; ;;;;
;22109; Labores Fábrica Nacional Moneda y Timbre;92,00;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL AGENCIA ESTATAL DE SEGURIDAD FERROVIARIA;;16.463,52;
 ; ;;;;
 ; ;;;;
;;TOTAL Regulación y supervisión de la seguridad ferroviaria;;16.463,52;
;;



