;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 45AC C01.I03 Actuaciones de mejora de la calidad y fiabilidad en el servicio de Cercanías.;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.50;;Total;
7;TRANSFERENCIAS DE CAPITAL;358.989,77;;358.989,77;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;358.989,77;;358.989,77;
;TOTAL;358.989,77;;358.989,77;
;;



