;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 45FB C06.I02 Red Transeuropea de Transporte. Otras actuaciones. Infraestructuras y Ecosistemas Resilientes;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
17.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;447;A SEITTSA para el Mecanismo de Recuperación y Resiliencia;;5.061,92;
;742;A ADIF para el Mecanismo de Recuperación y Resiliencia;;204.561,63;
;743;A ENAIRE para el Mecanismo de Recuperación y Resiliencia;;17.817,32;
;746;A ADIF-Alta Velocidad para el Mecanismo de Recuperación y Resiliencia;;29.443,32;
;748;A SECEGSA para el Mecanismo de Recuperación y Resiliencia;;750,00;
;755;Convenio con la Generalitat de Catalunya para la cesión de la B-23 e implantación del carril BUS-VAO en el acceso a Barcelona. Mecanismo de Recuperación y Resiliencia;;5.767,77;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;514.984,74;
 ; ;;;;
 ; ;;;;
;;TOTAL C06.I02 Red Transeuropea de Transporte. Otras actuaciones. Infraestructuras y Ecosistemas Resilientes;;514.984,74;
;;



