;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 45FC C06.I03 Intermodalidad y logística;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
17.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;742;A ADIF para el Mecanismo de Recuperación y Resiliencia;;157.138,26;
;745;A Puertos del Estado para el Mecanismo de Recuperación y Resiliencia;;139.732,00;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;316.681,12;
 ; ;;;;
 ; ;;;;
;;TOTAL C06.I03 Intermodalidad y logística;;316.681,12;
;;



