;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 495A Desarrollo y aplicación de la información geográfica española;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;17.18;17.102;Total;
1;GASTOS DE PERSONAL;16.890,03;2.929,92;19.819,95;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;11.020,48;2.040,55;13.061,03;
13; Laborales;3.558,51;371,23;3.929,74;
15; Incentivos al rendimiento;;252,07;252,07;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.250,00;266,07;2.516,07;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.307,05;2.523,30;4.830,35;
20; Arrendamientos y cánones;;29,19;29,19;
21; Reparaciones, mantenimiento y conservación;;401,02;401,02;
22; Material, suministros y otros;2.307,05;1.673,01;3.980,06;
23; Indemnizaciones por razón del servicio;;279,47;279,47;
24; Gastos de publicaciones;;140,61;140,61;
3;GASTOS FINANCIEROS;;12,78;12,78;
31; De préstamos en euros;;0,45;0,45;
35; Intereses de demora y otros gastos financieros;;12,33;12,33;
4;TRANSFERENCIAS CORRIENTES;2.014,40;26,00;2.040,40;
48; A familias e instituciones sin fines de lucro;618,59;26,00;644,59;
49; Al exterior;1.395,81;;1.395,81;
6;INVERSIONES REALES;11.068,94;7.839,36;18.908,30;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;9.997,09;7.739,36;17.736,45;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.071,85;50,00;1.121,85;
64; Gastos de inversiones de carácter inmaterial;;50,00;50,00;
7;TRANSFERENCIAS DE CAPITAL;350,00;;350,00;
75; A Comunidades Autónomas;350,00;;350,00;
;TOTAL;32.630,42;13.331,36;45.961,78;
;;



