Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Cap. 9;Total (miles €);Total (€)
441M;Subvenciones y apoyo al transporte terrestre;;;;1.943.041,89;;661.200,00;;2.604.241,89;;2.604.241,89;2.604.241.890,00
441N;Subvenciones y apoyo al transporte marítimo;;;16,31;183.932,61;;;;183.948,92;;183.948,92;183.948.920,00
441O;Subvenciones y apoyo al transporte aéreo;;;;573.860,05;;;;573.860,05;;573.860.050,00;573.860.050,00
441P;Subvenciones al transporte extrapeninsular de mercancías;;;;84.279,24;;;;84.279,24;;84.279.240,00;84.279.240,00
45AA;Zonas de bajas emisiones – Infraestructuras y Ecosistemas Resilientes;;;;;36.148,53;951.000,00;;987.148,53;;987.148.530,00;987.148.530,00
45AC;Mejora del servicio de Cercanías;;;;;;358.989,77;;358.989,77;;358.989.770,00;358.989.770,00
45FA;Red nacional de transporte: Corredores europeos;;;;;;236.816,02;;236.816,02;;236.816.020,00;236.816.020,00
45FB;Red Transeuropea – Infraestructuras y Ecosistemas Resilientes;;;;5.061,92;251.582,78;258.340,04;;514.984,74;;514.984.740,00;514.984.740,00
45FC;Intermodalidad y logística;;;;;19.810,86;296.870,26;;316.681,12;;316.681.120,00;316.681.120,00
45FD;Transporte sostenible y digital;;;;40.000,00;;92.000,00;;132.000,00;;132.000.000,00;132.000.000,00
45SC;Competencias digitales – Transportes;;;;;;11.500,00;;11.500,00;;11.500.000,00;11.500.000,00
451M;Asistencia técnica en Obras Públicas;21.118,43;6.179,08;;319,72;5.740,00;;38,32;33.395,55;;33.395.550,00;33.395.550,00
451N;Dirección y Servicios Generales de Transportes;62.828,81;21.987,70;3.513,31;10.340,90;15.703,80;271.176,10;52.844,94;438.395,56;;438.395.560,00;438.395.560,00
453A;Infraestructura del transporte ferroviario;2.322,86;549,25;;293.254,00;18.200,00;175.780,00;1.243.138,00;1.733.244,11;;1.733.244.110,00;1.733.244.110,00
453B;Infraestructura de carreteras;35.828,18;759,91;;;1.065.624,66;470.534,35;20.800,00;1.593.547,10;;1.593.547.100,00;1.593.547.100,00
453C;Conservación y explotación de carreteras;20.184,28;34.725,13;;;1.153.500,00;;;1.208.409,41;;1.208.409,41;1.208.409.410,00
453M;Ordenación e inspección del transporte terrestre;5.336,24;2.275,55;;105,00;2.800,00;13.788,00;;24.304,79;;24.304,79;24.304.790,00
453N;Supervisión de la seguridad ferroviaria;6.896,05;2.593,15;;104,87;6.869,45;;;16.463,52;;16.463,52;16.463.520,00
453O;Comisión de Investigación de Accidentes Ferroviarios;414,15;102;;;;;;516,15;;516,15;516.150,00
454M;Seguridad del tráfico marítimo;28.700,44;4.630,07;;1.199,00;2.300,00;;;36.829,51;;36.829,51;36.829.510,00
454O;Comisión de Investigación de Accidentes Marítimos;581,88;65,30;;;2.040,00;;;2.687,18;;2.687,18;2.687.180,00
455M;Supervisión de la aviación civil;26.305,66;54.985,56;10,19;1.881,28;9.744,17;;5,77;92.932,63;;92.932,63;92.932.630,00
455O;Comisión de Investigación de Accidentes de Aviación Civil;1.094,04;98,59;;;570,22;;;1.762,85;;1.762,85;1.762.850,00
46AA;Zonas de bajas emisiones – I+D+i+Digitalización;;;;;2.580,17;;;2.580,17;;2.580,17;2.580.170,00
46FB;Red Transeuropea – I+D+i+Digitalización;;;;;30.284,54;;;30.284,54;;30.284,54;30.284.540,00
46QC;Proyectos I+D+I Público-Privados y Compra Pública Precomercial;;;;;4,47;;;4,47;;4,47;4.470,00
467B;Investigación en transporte e infraestructuras;;;;;1.000,00;;;1.000,00;;1.000,00;1.000.000,00
467G;Investigación y desarrollo de la Sociedad de la Información;;;;;980,00;;;980,00;;980;980.000,00
495A;Información geográfica española;19.819,95;4.830,35;12,78;2.040,40;18.908,30;350;;45.961,78;;45.961,78;45.961.780,00
497M;Salvamento y lucha contra la contaminación en la mar;;;;157.720,00;;32.040,00;;189.760,00;;189.760,00;189.760.000,00
TOTAL CONSOLIDADO;;231.430,97;133.781,64;3.552,59;3.308.640,88;2.644.391,95;3.818.884,54;1.316.827,03;11.457.509,60;;11.457.509,60;11.457.509.600,00
000X;Transferencias y libramientos internos;;;;132.633,15;;8.420,00;;141.053,15;27,6;141.080,75;141.080.750,00
