Clasificación por programas;Explicación;Estado;OO.AA.;Resto Entidades;Total (miles euros);Total (euros)
441M;Subvenciones y apoyo al transporte terrestre;2.604.241,89;;;2.604.241,89;2.604.241.890,00
441N;Subvenciones y apoyo al transporte marítimo;183.948,92;;;183.948,92;183.948.920,00
441O;Subvenciones y apoyo al transporte aéreo;573.860,05;;;573.860,05;573.860.050,00
441P;Subvenciones al transporte extrapeninsular de mercancías;84.279,24;;;84.279,24;84.279.240,00
45AA;Zonas de bajas emisiones – Infraestructuras y Ecosistemas Resilientes;987.148,53;;;987.148,53;987.148.530,00
45AC;Mejora del servicio de Cercanías;358.989,77;;;358.989,77;358.989.770,00
45FA;Red nacional de transporte: Corredores europeos;236.816,02;;;236.816,02;236.816.020,00
45FB;Red Transeuropea – Infraestructuras y Ecosistemas Resilientes;514.984,74;;;514.984,74;514.984.740,00
45FC;Intermodalidad y logística;316.681,12;;;316.681,12;316.681.120,00
45FD;Transporte sostenible y digital;132.000,00;;;132.000,00;132.000.000,00
45SC;Competencias digitales – Transportes;11.500,00;;;11.500,00;11.500.000,00
451M;Asistencia técnica en Obras Públicas;;33.395,55;;33.395,55;33.395.550,00
451N;Dirección y Servicios Generales de Transportes;438.395,56;;;438.395,56;438.395.560,00
453A;Infraestructura del transporte ferroviario;1.733.244,11;;;1.733.244,11;1.733.244.110,00
453B;Infraestructura de carreteras;1.593.547,10;;;1.593.547,10;1.593.547.100,00
453C;Conservación y explotación de carreteras;1.208.409,41;;;1.208.409,41;1.208.409.410,00
453M;Ordenación e inspección del transporte terrestre;24.304,79;;;24.304,79;24.304.790,00
453N;Supervisión de la seguridad ferroviaria;;;16.463,52;16.463,52;16.463.520,00
453O;Comisión de Investigación de Accidentes Ferroviarios;516,15;;;516,15;516.150,00
454M;Seguridad del tráfico marítimo;36.829,51;;;36.829,51;36.829.510,00
454O;Comisión de Investigación de Accidentes Marítimos;2.687,18;;;2.687,18;2.687.180,00
455M;Supervisión de la aviación civil;10.310,28;;82.622,35;92.932,63;92.932.630,00
455O;Comisión de Investigación de Accidentes de Aviación Civil;1.762,85;;;1.762,85;1.762.850,00
46AA;Zonas de bajas emisiones – I+D+i+Digitalización;2.580,17;;;2.580,17;2.580.170,00
46FB;Red Transeuropea – I+D+i+Digitalización;30.284,54;;;30.284,54;30.284.540,00
46QC;Proyectos I+D+I Público-Privados y Compra Pública Precomercial;;4,47;;4,47;4.470,00
467B;Investigación en transporte e infraestructuras;;1.000,00;;1.000,00;1.000.000,00
467G;Investigación y desarrollo de la Sociedad de la Información;980;;;980;980.000,00
495A;Información geográfica española;32.630,42;13.331,36;;45.961,78;45.961.780,00
497M;Salvamento y lucha contra la contaminación en la mar;189.760,00;;;189.760,00;189.760.000,00
TOTAL CONSOLIDADO;;11.310.692,35;47.731,38;99.085,87;11.457.509,60;11.457.509.600,00
000X;Transferencias y libramientos internos;139.943,52;15;1.094,63;141.053,15;141.053.150,00
TOTAL GENERAL;;11.450.635,87;47.746,38;100.180,50;11.598.562,75;11.598.562.750,00
