Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
18.106;1;GASTOS DE PERSONAL – Consejo Superior de Deportes;13.155,23;13.155.230,00
18.106;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;16.303,22;16.303.220,00
18.106;3;GASTOS FINANCIEROS;160,00;160.000,00
18.106;4;TRANSFERENCIAS CORRIENTES;191.849,22;191.849.220,00
18.106;6;INVERSIONES REALES;4.127,98;4.127.980,00
18.106;7;TRANSFERENCIAS DE CAPITAL;17.832,66;17.832.660,00
18.106;8;ACTIVOS FINANCIEROS;642,51;642.510,00
—;—;TOTAL CONSEJO SUPERIOR DE DEPORTES;244.070,82;244.070.820,00
18.303;1;GASTOS DE PERSONAL – Agencia Estatal Comisión Española para la Lucha Antidopaje;1.888,94;1.888.940,00
18.303;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;142;142.000,00
—;—;TOTAL AGENCIA ESTATAL COMISIÓN ESPAÑOLA PARA LA LUCHA ANTIDOPAJE EN EL DEPORTE;4.515,05;4.515.050,00
—;—;TOTAL PROGRAMA 336A – Fomento y apoyo de las actividades deportivas;248.585,87;248.585.870,00
