;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 241B Formación Profesional para el Empleo;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;18.05;;Total;
1;GASTOS DE PERSONAL;1.953,50;;1.953,50;
12; Funcionarios;967,36;;967,36;
13; Laborales;328,23;;328,23;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;657,91;;657,91;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.787,53;;20.787,53;
22; Material, suministros y otros;18.820,12;;18.820,12;
23; Indemnizaciones por razón del servicio;1.720,06;;1.720,06;
24; Gastos de publicaciones;247,35;;247,35;
4;TRANSFERENCIAS CORRIENTES;1.150.576,33;;1.150.576,33;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;2.245,73;;2.245,73;
45; A Comunidades Autónomas;974.959,97;;974.959,97;
48; A familias e instituciones sin fines de lucro;173.370,63;;173.370,63;
6;INVERSIONES REALES;5.068,90;;5.068,90;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;2.534,45;;2.534,45;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.534,45;;2.534,45;
;TOTAL;1.178.386,26;;1.178.386,26;
;;



