;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 321M Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
18.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;208,56;
;11;Personal eventual;;510,99;
;12;Funcionarios;;34.431,84;
;13;Laborales;;7.166,08;
;15;Incentivos al rendimiento;;4.762,38;
;150;Productividad;;4.524,97;
;151;Gratificaciones;;237,41;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;5.046,43;
;16000; Seguridad Social;4.290,76;;
;16200; Formación y perfeccionamiento del personal;150,00;;
;16204; Acción social;302,85;;
;;TOTAL GASTOS DE PERSONAL;;52.126,28;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;104,00;
;21;Reparaciones, mantenimiento y conservación;;1.519,86;
;22;Material, suministros y otros;;6.646,60;
;22502; Locales;334,00;;
;22601; Atenciones protocolarias y representativas;29,33;;
;23;Indemnizaciones por razón del servicio;;912,75;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;9.183,21;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;285,26;
;352;Intereses de demora;;18,00;
;354;Liquidación de intereses de demora correspondientes al reconocimiento de diferencias salariales por sentencias y autos;;267,26;
;;TOTAL GASTOS FINANCIEROS;;285,26;
 ; ;;;;
;6;INVERSIONES REALES;;4.583,05;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;86,06;
;830;Préstamos a corto plazo;;15,00;
;831;Préstamos a largo plazo;;71,06;
;;TOTAL ACTIVOS FINANCIEROS;;86,06;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;66.263,86;
 ; ;;;;
 ; ;;;;
18.02;;SECRETARÍA GENERAL TÉCNICA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;4.163,05;
;13;Laborales;;530,90;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;271,19;
;16000; Seguridad Social;271,19;;
;;TOTAL GASTOS DE PERSONAL;;5.026,18;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;733,10;
;22601; Atenciones protocolarias y representativas;2,34;;
;23;Indemnizaciones por razón del servicio;;20,98;
;24;Gastos de publicaciones;;100,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;854,08;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
