;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 32UC C21.I03 Creación de Unidades de Acompañamiento y Orientación Personal y Familiar del alumnado educativamente vulnerable, en los servicios educativos o psicopedagógicos situados en zonas y distritos escolares.;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
18.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;1;GASTOS DE PERSONAL;;;
;19;Gastos de personal. Mecanismo de Recuperación y Resiliencia;;895,52;
;;TOTAL GASTOS DE PERSONAL;;895,52;
 ; ;;;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;55.934,92;
 ; ;;;;
 ; ;;;;
;;TOTAL C21.I03 Creación de Unidades de Acompañamiento y Orientación Personal y Familiar del alumnado educativamente vulnerable, en los servicios educativos o psicopedagógicos situados en zonas y distritos escolares.;;55.934,92;
;;



