Clasificación por programas;Explicación;Estado;OO.AA. ;Resto Entidades;Total (miles euros);Total (euros)
14SB;Transformación Digital de la Educación. Política Exterior;324,11;—;—;324,11;324.110,00
144B;Cooperación educativa en el exterior;11.243,25;—;—;11.243,25;11.243.250,00
24TA;Reskilling y upskilling – Fomento del Empleo;73.500,00;—;—;73.500,00;73.500.000,00
241B;Formación Profesional para el Empleo;1.178.386,26;—;—;1.178.386,26;1.178.386.260,00
32SA;Competencias digitales – Educación;42.000,00;—;—;42.000,00;42.000.000,00
32SB;Transformación Digital – Educación;59.804,01;—;—;59.804,01;59.804.010,00
32TA;Reskilling y upskilling – Educación;438.800,42;—;—;438.800,42;438.800.420,00
32TB;Transformación Digital de la FP;143.059,87;—;—;143.059,87;143.059.870,00
32TC;Innovación e internacionalización de la FP;193.203,23;—;—;193.203,23;193.203.230,00
32TR;Modernización de la FP;400,00;—;—;400;400.000,00
32UA;Plazas de Educación Infantil pública;136.210,00;—;—;136.210,00;136.210.000,00
32UB;Programa #PROA+;120.626,50;—;—;120.626,50;120.626.500,00
32UC;Unidades de Acompañamiento;55.934,92;—;—;55.934,92;55.934.920,00
32US;Nuevo modelo curricular;400,00;—;—;400;400.000,00
321M;Dirección y Servicios Generales;84.675,71;—;—;84.675,71;84.675.710,00
321N;Formación del profesorado;1.847,44;—;—;1.847,44;1.847.440,00
322A;Educación Infantil y Primaria;194.695,38;—;—;194.695,38;194.695.380,00
322B;Educación Secundaria, FP y Escuelas Oficiales;583.748,50;—;—;583.748,50;583.748.500,00
322E;Enseñanzas artísticas;4.757,97;—;—;4.757,97;4.757.970,00
322F;Educación en el exterior;110.156,67;—;—;110.156,67;110.156.670,00
322G;Educación compensatoria;4.144,07;—;—;4.144,07;4.144.070,00
322L;Inversiones en centros educativos;396.706,44;—;—;396.706,44;396.706.440,00
323M;Becas y ayudas a estudiantes;2.549.784,10;—;—;2.549.784,10;2.549.784.100,00
33ZA;Digitalización del Sector Deporte;—;55.263,09;2.128,84;57.391,93;57.391.930,00
33ZB;Transición Ecológica de Instalaciones Deportivas;—;68.998,19;—;68.998,19;68.998.190,00
33ZC;Plan Social del Sector Deporte;—;16.000,00;—;16.000,00;16.000.000,00
336A;Fomento y apoyo de las actividades deportivas;—;244.070,82;4.515,05;248.585,87;248.585.870,00
TOTAL CONSOLIDADO;;6.384.408,85;384.332,10;6.643,89;6.775.384,84;6.775.384.840,00
000X;Transferencias y libramientos internos;346.404,45;—;—;346.404,45;346.404.450,00
TOTAL GENERAL;;6.730.813,30;384.332,10;6.643,89;7.121.789,29;7.121.789.290,00
