Económica;Explicación;Total (miles  euros);Total (euros)
1;Gastos de personal;23.736,20;23.736.200,00
15;Incentivos al rendimiento;2.918,25;2.918.250,00
150;Productividad;2.858,95;2.858.950,00
151;Gratificaciones;59,3;59.300,00
16000;Seguridad Social;3.449,81;3.449.810,00
16200;Formación y perfeccionamiento del personal;60;60.000,00
16204;Acción social;38,2;38.200,00
2;Gastos corrientes en bienes y servicios;24.163,52;24.163.520,00
202;Arrendamientos de edificios y otras construcciones;310;310.000,00
22.109;Labores Fábrica Nacional Moneda y Timbre;30;30.000,00
22502;Locales;100;100.000,00
22601;Atenciones protocolarias y representativas;1;1.000,00
3;Gastos financieros;160,56;160.560,00
35;Intereses de demora y otros gastos financieros;160,56;160.560,00
352;Intereses de demora;137,56;137.560,00
359;Otros gastos financieros;23;23.000,00
4;Transferencias corrientes;4.069.193,94;4.069.193.940,00
44;A entidades del Sector Público Estatal;57,05;57.050,00
45;A Comunidades Autónomas;1.652.800,25;1.652.800.250,00
454;Gestión de servicios y programas de empleo y formación;1.424.300,25;1.424.300.250,00
455;Planes integrales de empleo mediante convenios;140.000,00;140.000.000,00
45510;Plan integral de empleo de Canarias;45.000,00;45.000.000,00
45512;Plan integral de empleo de Andalucía;50.000,00;50.000.000,00
45513;Plan integral de empleo de Extremadura;15.000,00;15.000.000,00
45515;Plan integral de empleo de La Palma (Canarias);30.000,00;30.000.000,00
458;Modernización de servicios públicos de empleo;88.500,00;88.500.000,00
46;A Entidades Locales;293.784,76;293.784.760,00
460;Gestión en territorio no transferido;8.749,63;8.749.630,00
461;Programa de fomento de empleo agrario;285.035,13;285.035.130,00
47;A empresas privadas;2.249,45;2.249.450,00
472;Gestión en territorio no transferido;2.249,45;2.249.450,00
48;A familias e instituciones sin fines de lucro;2.119.900,43;2.119.900.430,00
481–487;Subvenciones, bonificaciones, reinserción laboral;2.115.900,43;2.115.900.430,00
48703;Bonificaciones por contratación laboral;2.075.900,00;2.075.900.000,00
49;Al exterior;402;402.000,00
491–493;Cuotas a organismos internacionales;402;402.000,00
6;Inversiones reales;3.610,92;3.610.920,00
8;Activos financieros;79,4;79.400,00
831;Préstamos a largo plazo;79,4;79.400,00
—;TOTAL PROGRAMA 241A – Fomento de la inserción y estabilidad laboral;4.120.944,54;4.120.944.540,00
