;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 912P Asesoramiento del Gobierno en materia social, económica y laboral;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
19.301;;CONSEJO ECONÓMICO Y SOCIAL;;;
;1;GASTOS DE PERSONAL;;;
;16000; Seguridad Social;887,65;;
;16200; Formación y perfeccionamiento del personal;14,86;;
;16204; Acción social;10,11;;
;;TOTAL GASTOS DE PERSONAL;;4.414,06;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22502; Locales;48,00;;
;22601; Atenciones protocolarias y representativas;71,17;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.017,82;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;1.512,45;
;484;Compensación económica por participación en órganos consultivos.;;697,65;
;485;Compensaciones económicas por actividades del Consejo realizadas por las organizaciones y expertos en él representadas en proporción al número de miembros que componen los grupos del Consejo, según se establece en el artículo 2 de la Ley 21/1991, de 17 de junio;;697,20;
;486;Premios y becas convocados por el Consejo Economico y Social;;117,60;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.512,45;
 ; ;;;;
;6;INVERSIONES REALES;;1.249,97;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;26,55;
;830;Préstamos a corto plazo;;13,28;
;831;Préstamos a largo plazo;;13,27;
;;TOTAL ACTIVOS FINANCIEROS;;26,55;
 ; ;;;;
;;TOTAL CONSEJO ECONÓMICO Y SOCIAL;;9.220,85;
 ; ;;;;
 ; ;;;;
;;TOTAL Asesoramiento del Gobierno en materia social, económica y laboral;;9.220,85;
;;



