Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
20.01;10;Altos cargos;208,56;208.560,00
20.01;11;Personal eventual;519,92;519.920,00
20.01;12;Funcionarios;17.391,85;17.391.850,00
20.01;13;Laborales;2.487,73;2.487.730,00
20.01;15;Incentivos al rendimiento;3.957,50;3.957.500,00
20.01;150;Productividad;3.873,22;3.873.220,00
20.01;151;Gratificaciones;84,28;84.280,00
20.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.314,65;3.314.650,00
20.01;16000;Seguridad Social;1.737,74;1.737.740,00
20.01;16200;Formación y perfeccionamiento del personal;369,17;369.170,00
20.01;16201;Economatos y comedores;87,12;87.120,00
20.01;16204;Acción social;150,93;150.930,00
20.01;—;TOTAL GASTOS DE PERSONAL;27.880,21;27.880.210,00
20.01;20;Arrendamientos y cánones;406,77;406.770,00
20.01;202;Arrendamientos de edificios y otras construcciones;390,55;390.550,00
20.01;21;Reparaciones, mantenimiento y conservación;4.107,23;4.107.230,00
20.01;22;Material, suministros y otros;7.839,26;7.839.260,00
20.01;22109;Labores Fábrica Nacional Moneda y Timbre;22,08;22.080,00
20.01;22502;Locales;2.125,47;2.125.470,00
20.01;22601;Atenciones protocolarias y representativas;45,8;45.800,00
20.01;23;Indemnizaciones por razón del servicio;801,34;801.340,00
20.01;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;13.154,60;13.154.600,00
20.01;35;Intereses de demora y otros gastos financieros;1;1.000,00
20.01;—;TOTAL GASTOS FINANCIEROS;1;1.000,00
20.01;44;A entidades del Sector Público Estatal;178,35;178.350,00
20.01;443;Fundación Centro Nacional del Vidrio;178,35;178.350,00
20.01;48;A familias e instituciones sin fines de lucro;250,75;250.750,00
20.01;480;Becas, congresos, seminarios;237,37;237.370,00
20.01;481;Premios a la innovación;13,38;13.380,00
20.01;—;TOTAL TRANSFERENCIAS CORRIENTES;429,1;429.100,00
20.01;6;INVERSIONES REALES;12.654,28;12.654.280,00
20.01;83;Concesión de préstamos fuera del Sector Público;173,94;173.940,00
20.01;830;Préstamos a corto plazo;13,75;13.750,00
20.01;831;Préstamos a largo plazo;160,19;160.190,00
20.01;—;TOTAL ACTIVOS FINANCIEROS;173,94;173.940,00
20.01;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;54.293,13;54.293.130,00
20.02;—;TOTAL SECRETARÍA GENERAL TÉCNICA;4.209,13;4.209.130,00
20.03;—;TOTAL SECRETARÍA DE ESTADO DE INDUSTRIA;6.879,62;6.879.620,00
20.10;—;TOTAL DIRECCIÓN GENERAL DE ESTRATEGIA INDUSTRIAL Y PYME;1.695,35;1.695.350,00
—;—;TOTAL PROGRAMA 421M – Dirección y Servicios Generales de Industria y Turismo;67.077,23;67.077.230,00
