;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 421N Regulación y protección de la Propiedad Industrial;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
20.102;;OFICINA ESPAÑOLA DE PATENTES Y MARCAS;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;1.865,24;
;150;Productividad;;1.400,89;
;151;Gratificaciones;;464,35;
;16000; Seguridad Social;3.800,00;;
;16200; Formación y perfeccionamiento del personal;129,07;;
;16204; Acción social;66,15;;
;;TOTAL GASTOS DE PERSONAL;;23.690,00;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;11.111,74;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;27,36;
;352;Intereses de demora;;22,36;
;359;Otros gastos financieros;;5,00;
;;TOTAL GASTOS FINANCIEROS;;27,36;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;227,55;
;440;Aportación a la Fundación Escuela de Organización Industrial (EOI);;227,55;
;47;A empresas privadas;;7.467,33;
;471;Programa de fomento de las solicitudes de patentes y modelos de utilidad en el exterior para empresa privada y persona física titular del derecho;;7.136,60;
;472;Programa de fomento de las solicitudes de patentes y modelos de utilidad en España para PYMES y persona física titular del derecho;;330,73;
;48;A familias e instituciones sin fines de lucro;;644,51;
;481;A los funcionarios de las oficinas iberoamericanas de la Propiedad Industrial designados por las mismas y de conformidad con el acuerdo suscrito por la Oficina Española de Patentes y Marcas (OEPM) con cada una de ellas (Programa CIBIT);;133,00;
;482;Para formación de funcionarios y colaboración con oficinas iberoamericanas de la Propiedad Industrial;;26,51;
;484;Programa de fomento de las solicitudes de patentes y modelos de utilidad en el exterior para instituciones sin fines de lucro;;180,00;
;485;Premio a la mejor invención protegida mediante derechos de Propiedad Industrial;;30,00;
;487;Subvención a la Asociación Nacional para la Defensa de la Marca (ANDEMA), para la promoción y difusión de signos distintivos;;175,00;
;489;Subvención a la Fundación Foro de Marcas Renombradas Españolas;;100,00;
;49;Al exterior;;237,50;
;492;Cuotas a asociaciones y participación en organismos internacionales;;237,50;
;;TOTAL TRANSFERENCIAS CORRIENTES;;8.576,89;
 ; ;;;;
;6;INVERSIONES REALES;;9.945,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;73,75;
;830;Préstamos a corto plazo;;13,00;
;831;Préstamos a largo plazo;;60,75;
;;TOTAL ACTIVOS FINANCIEROS;;73,75;
 ; ;;;;
;;TOTAL OFICINA ESPAÑOLA DE PATENTES Y MARCAS;;53.424,74;
 ; ;;;;
 ; ;;;;
;;TOTAL Regulación y protección de la Propiedad Industrial;;53.424,74;
;;



