;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 42MA C13.I01 Emprendimiento. Industria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;20.50;;Total;
6;INVERSIONES REALES;3.000,00;;3.000,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;3.000,00;;3.000,00;
;TOTAL;3.000,00;;3.000,00;
;;



