;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 43ND C14.I04 Actuaciones especiales en el ámbito de la competitividad.;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
20.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;74702; A Paradores de Turismo de España para financiación de proyectos de eficiencia energética en empresas. Mecanismo de Recuperación y Resiliencia;7.000,00;;
;78500; A la FEMP para desarrollo de Experiencias turísticas en el marco del programa “Experiencias Turismo España”. Mecanismo de Recuperación y Resiliencia;2.000,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;197.400,00;
 ; ;;;;
 ; ;;;;
20.104;;INSTITUTO DE TURISMO DE ESPAÑA;;11.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C14.I04 Actuaciones especiales en el ámbito de la competitividad.;;208.400,00;
;;



