Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;1.830,53;1.830.530,00
12;Funcionarios;1.420,62;1.420.620,00
13;Laborales;185,21;185.210,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;224,7;224.700,00
4;TRANSFERENCIAS CORRIENTES;100;100.000,00
48;A familias e instituciones sin fines de lucro;100;100.000,00
6;INVERSIONES REALES;58.021,94;58.021.940,00
60;Inversión nueva en infraestructuras y bienes destinados al uso general;43.532,47;43.532.470,00
61;Inversión de reposición en infraestructuras y bienes destinados al uso general;9.859,00;9.859.000,00
64;Gastos de inversiones de carácter inmaterial;4.630,47;4.630.470,00
7;TRANSFERENCIAS DE CAPITAL;198;198.000,00
76;A Entidades Locales;198;198.000,00
8;ACTIVOS FINANCIEROS;96.872,10;96.872.100,00
85;Adquisición de acciones y participaciones del Sector Público;96.872,10;96.872.100,00
—;TOTAL PROGRAMA 414A – Gestión de recursos hídricos y otras infraestructuras rurales;157.022,57;157.022.570,00
