;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;Total;
411M; Dirección y Servicios Generales de Agricultura, Pesca y Alimentación;135.896,33;;135.896,33;
412C; Competitividad y calidad de la producción y los mercados agrarios;58.454,27;;58.454,27;
412D; Competitividad y calidad de la sanidad agraria;46.690,50;;46.690,50;
412M; Regulación de los mercados agrarios;30.408,84;5.756.888,41;5.787.297,25;
413A; Competitividad industria agroalimentaria y calidad alimentaria;34.387,25;;34.387,25;
414A; Gestión de recursos hídricos para el regadío, caminos naturales y otras infraestructuras rurales;157.022,57;;157.022,57;
414B; Desarrollo del medio rural;189.238,09;1.593.307,29;1.782.545,38;
415A; Protección de los recursos pesqueros y desarrollo sostenible;24.370,64;;24.370,64;
415B; Mejora de estructuras y mercados pesqueros;62.344,16;;62.344,16;
416A; Previsión de riesgos en las producciones agrarias y pesqueras;1,50;322.972,80;322.974,30;
;TOTAL CONSOLIDADO;738.814,15;7.673.168,50;8.411.982,65;
000X; Transferencias y libramientos internos;341.038,31;16.179,72;357.218,03;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;341.038,31;16.179,72;357.218,03;
;TOTAL;1.079.852,46;7.689.348,22;8.769.200,68;
;;



