;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;Programa: 925M Memoria democrática;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
22.03;;SECRETARÍA DE ESTADO DE MEMORIA DEMOCRÁTICA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;141,36;
;11;Personal eventual;;251,52;
;12;Funcionarios;;688,32;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;130,80;
;16000; Seguridad Social;130,80;;
;;TOTAL GASTOS DE PERSONAL;;1.212,00;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;3.340,00;
;23;Indemnizaciones por razón del servicio;;200,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;3.540,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;100,00;
;442;Para gastos derivados de la aplicación de la Ley 52/2007, de 26 de diciembre, Subvenciones a Universidades Estatales;;50,00;
;448;Para gastos derivados de la aplicación de la Ley 52/2007, de 26 de diciembre, a otras entidades;;50,00;
;45;A Comunidades Autónomas;;3.300,00;
;450;Para gastos derivados de la aplicación de la Ley 52/2007 de 26 de diciembre por la que se reconocen y amplían derechos y se establecen medidas en favor de quien padecieron persecución o violencia durante la guerra civil y la dictadura. Plan exhumación víctimas;;3.000,00;
;452;Para gastos derivados de la aplicación de la Ley 52/2007, de 26 de diciembre, Subvenciones a Universidades de CC.AA.;;300,00;
;46;A Entidades Locales;;650,00;
;464;Subvención excepcional al Ayuntamiento de Huelva para actuaciones de exhumación de fosas comunes de la Guerra Civil;;275,00;
;465;Subvención excepcional al Ayuntamiento de Jaen para actuaciones de exhumaciones de fosas comunes de la Guerra Civil;;100,00;
;466;Subvención excepcional a la Diputación de Ciudad Real para actuaciones de exhumación de fosas comunes de la Guerra Civil;;275,00;
;48;A familias e instituciones sin fines de lucro;;1.600,00;
;480;Para gastos derivados de la aplicación de la Ley 52/2007, de 26 de diciembre. Subvenciones a entidades sin ánimo de lucro;;600,00;
;481;Para gastos derivados de la aplicación de la Ley 52/2007, de 26 de diciembre. Subvención directa a la FEMP;;1.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;5.650,00;
 ; ;;;;
;6;INVERSIONES REALES;;1.950,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;1.600,00;
;750;A la Comunidad Autónoma de Aragón para el Museo de la Memoria en Teruel;;750,00;
;751;A la Comunidad Autónoma de La Rioja para el Centro de Memoria La Rioja;;250,00;
;752;Al Gobierno Vasco para las obras en la Iglesia de San Francisco de Asís en Zaramaga para su conversión en centro memorial a las víctimas del 3 de marzo;;600,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;1.600,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE MEMORIA DEMOCRÁTICA;;13.952,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Memoria democrática;;13.952,00;
;;



