;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;Programa: 942A Cooperación económica local del Estado;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;22.02;;Total;
1;GASTOS DE PERSONAL;2.172,93;;2.172,93;
12; Funcionarios;1.843,84;;1.843,84;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;329,09;;329,09;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.465,40;;1.465,40;
21; Reparaciones, mantenimiento y conservación;60,00;;60,00;
22; Material, suministros y otros;1.405,40;;1.405,40;
4;TRANSFERENCIAS CORRIENTES;2.625,00;;2.625,00;
48; A familias e instituciones sin fines de lucro;2.625,00;;2.625,00;
6;INVERSIONES REALES;360,00;;360,00;
64; Gastos de inversiones de carácter inmaterial;360,00;;360,00;
7;TRANSFERENCIAS DE CAPITAL;51.816,00;;51.816,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;20.520,00;;20.520,00;
75; A Comunidades Autónomas;30.000,00;;30.000,00;
76; A Entidades Locales;1.266,00;;1.266,00;
78; A familias e instituciones sin fines de lucro;30,00;;30,00;
;TOTAL;58.439,33;;58.439,33;
;;



