;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 8;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;Total;
921M; Dirección y Servicios Generales de Política Territorial y Memoria Democrática;41.363,67;41.363,67;
921P; Administración General del Estado en el Territorio;285.864,80;285.864,80;
922M; Organización territorial del Estado y desarrollo de sus sistemas de colaboración;11.759,09;11.759,09;
925M; Memoria democrática;13.952,00;13.952,00;
942A; Cooperación económica local del Estado;58.439,33;58.439,33;
;TOTAL CONSOLIDADO;411.378,89;411.378,89;
;TOTAL;411.378,89;411.378,89;
;;



