;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 456A Calidad del agua;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.05;;DIRECCIÓN GENERAL DEL AGUA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;763,17;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;145,78;
;16000; Seguridad Social;145,78;;
;;TOTAL GASTOS DE PERSONAL;;908,95;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;49;Al exterior;;6.261,75;
;490;Unión Europea, para el pago de indemnizaciones derivadas de Sentencia del Tribunal de Justicia de la Unión Europea;;6.261,75;
;;TOTAL TRANSFERENCIAS CORRIENTES;;6.261,75;
 ; ;;;;
;6;INVERSIONES REALES;;206.085,72;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;1,00;
;754;Plan Nacional de calidad de las aguas y del ciclo hídrico en Aragón;;1,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;1,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DEL AGUA;;213.257,42;
 ; ;;;;
 ; ;;;;
23.102;;CONFEDERACIÓN HIDROGRÁFICA DEL CANTÁBRICO;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;85,00;
;22502; Locales;85,00;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.164,99;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;17,00;
;352;Intereses de demora;;17,00;
;;TOTAL GASTOS FINANCIEROS;;17,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;49;Al exterior;;1,00;
;490;Red Internacional de Organismos de Cuenca. Cuota anual;;1,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1,00;
 ; ;;;;
;6;INVERSIONES REALES;;1.985,00;
 ; ;;;;
