;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 456M Actuaciones para la prevención de la contaminación y el cambio climático;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;23.04;23.10;Total;
1;GASTOS DE PERSONAL;;2.781,63;2.781,63;
10; Altos cargos;;61,04;61,04;
12; Funcionarios;;2.280,66;2.280,66;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;439,93;439,93;
4;TRANSFERENCIAS CORRIENTES;875,00;222,28;1.097,28;
48; A familias e instituciones sin fines de lucro;875,00;222,28;1.097,28;
6;INVERSIONES REALES;468,24;1.500,00;1.968,24;
64; Gastos de inversiones de carácter inmaterial;468,24;1.500,00;1.968,24;
7;TRANSFERENCIAS DE CAPITAL;;10.800,00;10.800,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;3.300,00;3.300,00;
75; A Comunidades Autónomas;;7.500,00;7.500,00;
8;ACTIVOS FINANCIEROS;;12.000,00;12.000,00;
87; Aportaciones patrimoniales;;12.000,00;12.000,00;
;TOTAL;1.343,24;27.303,91;28.647,15;
;;



